,路線名,駅名,設置年月
90,東日本旅客鉄道北陸新幹線,佐久平,1997/10/01 00:00
91,東日本旅客鉄道北陸新幹線,安中榛名,1997/10/01 00:00
92,東日本旅客鉄道北陸新幹線,上田,1997/10/01 00:00
93,京都市交通局東西線,御陵,1997/10/01 00:00
94,京都市交通局東西線,醍醐,1997/10/01 00:00
95,京都市交通局東西線,小野,1997/10/01 00:00
96,京都市交通局東西線,椥辻,1997/10/01 00:00
97,京都市交通局東西線,東野,1997/10/01 00:00
98,京都市交通局東西線,山科,1997/10/01 00:00
99,京都市交通局東西線,蹴上,1997/10/01 00:00
100,京都市交通局東西線,東山,1997/10/01 00:00
101,京都市交通局東西線,二条,1997/10/01 00:00
102,京都市交通局東西線,三条京阪,1997/10/01 00:00
103,京都市交通局東西線,京都市役所前,1997/10/01 00:00
104,京都市交通局東西線,烏丸御池,1997/10/01 00:00
105,京都市交通局東西線,二条城前,1997/10/01 00:00
106,大阪市高速電気軌道南港ポートタウン線,トレードセンター前,1997/12/01 00:00
107,大阪市高速電気軌道南港ポートタウン線,コスモスクエア,1997/12/01 00:00
108,スカイレールサービス広島短距離交通瀬野線,みどり口,1998/08/01 00:00
109,スカイレールサービス広島短距離交通瀬野線,みどり中央,1998/08/01 00:00
110,スカイレールサービス広島短距離交通瀬野線,みどり中街,1998/08/01 00:00
111,多摩都市モノレール多摩都市モノレール線,高松,1998/11/01 00:00
112,多摩都市モノレール多摩都市モノレール線,立川北,1998/11/01 00:00
113,多摩都市モノレール多摩都市モノレール線,上北台,1998/11/01 00:00
114,多摩都市モノレール多摩都市モノレール線,立飛,1998/11/01 00:00
115,多摩都市モノレール多摩都市モノレール線,桜街道,1998/11/01 00:00
116,多摩都市モノレール多摩都市モノレール線,玉川上水,1998/11/01 00:00
117,多摩都市モノレール多摩都市モノレール線,砂川七番,1998/11/01 00:00
118,多摩都市モノレール多摩都市モノレール線,泉体育館,1998/11/01 00:00
119,多摩都市モノレール多摩都市モノレール線,立川南,2000/01/01 00:00
120,多摩都市モノレール多摩都市モノレール線,柴崎体育館,2000/01/01 00:00
121,多摩都市モノレール多摩都市モノレール線,甲州街道,2000/01/01 00:00
122,多摩都市モノレール多摩都市モノレール線,万願寺,2000/01/01 00:00
123,多摩都市モノレール多摩都市モノレール線,高幡不動,2000/01/01 00:00
124,多摩都市モノレール多摩都市モノレール線,多摩センター,2000/01/01 00:00
125,多摩都市モノレール多摩都市モノレール線,松が谷,2000/01/01 00:00
126,多摩都市モノレール多摩都市モノレール線,程久保,2000/01/01 00:00
127,多摩都市モノレール多摩都市モノレール線,多摩動物公園,2000/01/01 00:00
128,多摩都市モノレール多摩都市モノレール線,中央大学・明星大学,2000/01/01 00:00
129,多摩都市モノレール多摩都市モノレール線,大塚・帝京大学,2000/01/01 00:00
130,東京都交通局三田線,新高島平,2000/04/01 00:00
131,東京都交通局三田線,西高島平,2000/04/01 00:00
132,東京都交通局三田線,高島平,2000/04/01 00:00
133,東京都交通局三田線,志村坂上,2000/05/01 00:00
134,東京都交通局三田線,西台,2000/05/01 00:00
135,東京都交通局三田線,志村三丁目,2000/05/01 00:00
136,東京都交通局三田線,蓮根,2000/05/01 00:00
137,東京都交通局三田線,本蓮沼,2000/05/01 00:00
138,東京都交通局三田線,板橋本町,2000/06/01 00:00
139,東京都交通局三田線,板橋区役所前,2000/06/01 00:00
140,東京都交通局三田線,新板橋,2000/06/01 00:00
141,東京都交通局三田線,西巣鴨,2000/06/01 00:00
142,東京都交通局三田線,千石,2000/06/01 00:00
143,東京都交通局三田線,巣鴨,2000/06/01 00:00
144,東京都交通局三田線,水道橋,2000/07/01 00:00
145,東京都交通局三田線,神保町,2000/07/01 00:00
146,東京都交通局三田線,春日,2000/07/01 00:00
147,東京都交通局三田線,大手町,2000/07/01 00:00
148,東京都交通局三田線,白山,2000/07/01 00:00
149,東急電鉄東急目黒線,田園調布,2000/08/01 00:00
150,東京地下鉄南北線,目黒,2000/08/01 00:00
151,東京都交通局三田線,日比谷,2000/08/01 00:00
152,東京都交通局三田線,内幸町,2000/08/01 00:00
153,東急電鉄東急目黒線,奥沢,2000/08/01 00:00
154,東急電鉄東急目黒線,目黒,2000/08/01 00:00
155,東急電鉄東急目黒線,洗足,2000/08/01 00:00
156,東京都交通局三田線,三田,2000/08/01 00:00
157,東京都交通局三田線,芝公園,2000/08/01 00:00
158,東京都交通局三田線,御成門,2000/08/01 00:00
159,東急電鉄東急目黒線,武蔵小杉,2000/08/01 00:00
