,路線名,駅名,設置年月
406,東急電鉄東急目黒線,日吉,2008/06/01 00:00
407,東京地下鉄副都心線,新宿三丁目,2008/06/01 00:00
408,東京地下鉄有楽町線,小竹向原,2008/06/01 00:00
409,東急電鉄東急東横線,渋谷,2008/06/01 00:00
410,東京地下鉄副都心線,渋谷,2008/06/01 00:00
411,東京地下鉄副都心線,明治神宮前（原宿）,2008/06/01 00:00
412,東京地下鉄副都心線,小竹向原,2008/06/01 00:00
413,東京地下鉄副都心線,千川,2008/06/01 00:00
414,東京地下鉄副都心線,要町,2008/06/01 00:00
415,東京地下鉄副都心線,池袋,2008/06/01 00:00
416,東京地下鉄副都心線,雑司が谷,2008/06/01 00:00
417,東京地下鉄副都心線,西早稲田,2008/06/01 00:00
418,東京地下鉄副都心線,東新宿,2008/06/01 00:00
419,東急電鉄東急目黒線,元住吉,2008/06/01 00:00
420,東京地下鉄副都心線,北参道,2008/06/01 00:00
421,札幌市交通局東西線,ひばりが丘,2008/09/01 00:00
422,札幌市交通局東西線,新さっぽろ,2008/09/01 00:00
423,札幌市交通局東西線,大谷地,2008/10/01 00:00
424,札幌市交通局東西線,南郷18丁目,2008/10/01 00:00
425,札幌市交通局東西線,南郷13丁目,2008/10/01 00:00
426,札幌市交通局東西線,白石,2008/11/01 00:00
427,札幌市交通局東西線,東札幌,2008/11/01 00:00
428,札幌市交通局東西線,菊水,2008/11/01 00:00
429,札幌市交通局東西線,西18丁目,2008/12/01 00:00
430,札幌市交通局東西線,バスセンター前,2008/12/01 00:00
431,札幌市交通局東西線,大通,2008/12/01 00:00
432,札幌市交通局東西線,西11丁目,2008/12/01 00:00
433,札幌市交通局東西線,円山公園,2009/01/01 00:00
434,札幌市交通局東西線,西28丁目,2009/01/01 00:00
435,札幌市交通局東西線,発寒南,2009/02/01 00:00
436,札幌市交通局東西線,二十四軒,2009/02/01 00:00
437,札幌市交通局東西線,琴似,2009/02/01 00:00
438,札幌市交通局東西線,宮の沢,2009/03/01 00:00
439,仙台市交通局南北線,富沢,2009/10/01 00:00
440,仙台市交通局南北線,長町,2009/10/01 00:00
441,仙台市交通局南北線,長町南,2009/10/01 00:00
442,仙台市交通局南北線,愛宕橋,2009/11/01 00:00
443,仙台市交通局南北線,五橋,2009/11/01 00:00
444,仙台市交通局南北線,河原町,2009/11/01 00:00
445,仙台市交通局南北線,長町一丁目,2009/11/01 00:00
446,仙台市交通局南北線,仙台,2009/12/01 00:00
447,仙台市交通局南北線,広瀬通,2009/12/01 00:00
448,仙台市交通局南北線,北四番丁,2009/12/01 00:00
449,仙台市交通局南北線,勾当台公園,2009/12/01 00:00
450,仙台市交通局南北線,北仙台,2010/01/01 00:00
451,仙台市交通局南北線,台原,2010/01/01 00:00
452,仙台市交通局南北線,旭ヶ丘,2010/01/01 00:00
453,仙台市交通局南北線,泉中央,2010/02/01 00:00
454,仙台市交通局南北線,八乙女,2010/02/01 00:00
455,仙台市交通局南北線,黒松,2010/02/01 00:00
456,東日本旅客鉄道山手線,恵比寿,2010/06/01 00:00
457,大阪市高速電気軌道長堀鶴見緑地線,大正,2010/07/01 00:00
458,大阪市高速電気軌道長堀鶴見緑地線,ドーム前千代崎,2010/08/01 00:00
459,東京地下鉄副都心線,氷川台,2010/08/01 00:00
460,東京地下鉄有楽町線,氷川台,2010/08/01 00:00
461,東日本旅客鉄道山手線,目黒,2010/08/01 00:00
462,大阪市高速電気軌道長堀鶴見緑地線,西長堀,2010/09/01 00:00
463,東京地下鉄有楽町線,地下鉄赤塚,2010/09/01 00:00
464,東京地下鉄有楽町線,平和台,2010/09/01 00:00
465,東京地下鉄副都心線,地下鉄赤塚,2010/09/01 00:00
466,大阪市高速電気軌道長堀鶴見緑地線,西大橋,2010/09/01 00:00
467,東京地下鉄副都心線,平和台,2010/09/01 00:00
468,大阪市高速電気軌道長堀鶴見緑地線,心斎橋,2010/09/01 00:00
469,大阪市高速電気軌道長堀鶴見緑地線,長堀橋,2010/10/01 00:00
470,京浜急行電鉄京急空港線,羽田空港第3ターミナル,2010/10/01 00:00
471,東京地下鉄副都心線,地下鉄成増,2010/10/01 00:00
472,大阪市高速電気軌道長堀鶴見緑地線,松屋町,2010/10/01 00:00
473,東京地下鉄有楽町線,地下鉄成増,2010/10/01 00:00
474,東京モノレール東京モノレール羽田線,羽田空港第3ターミナル,2010/10/01 00:00
475,大阪市高速電気軌道長堀鶴見緑地線,谷町六丁目,2010/10/01 00:00
476,大阪市高速電気軌道長堀鶴見緑地線,玉造,2010/10/01 00:00
477,大阪市高速電気軌道長堀鶴見緑地線,森ノ宮,2010/11/01 00:00
478,大阪市高速電気軌道長堀鶴見緑地線,京橋,2010/12/01 00:00
479,東日本旅客鉄道東北新幹線,七戸十和田,2010/12/01 00:00
480,東日本旅客鉄道東北新幹線,新青森,2010/12/01 00:00
481,大阪市高速電気軌道長堀鶴見緑地線,大阪ビジネスパーク ,2010/12/01 00:00
482,大阪市高速電気軌道長堀鶴見緑地線,蒲生四丁目,2010/12/01 00:00
483,大阪市高速電気軌道長堀鶴見緑地線,今福鶴見,2011/01/01 00:00
484,東京地下鉄有楽町線,池袋,2011/01/01 00:00
485,東京地下鉄有楽町線,要町,2011/01/01 00:00
486,名古屋市交通局桜通線,中村区役所,2011/01/01 00:00
487,大阪市高速電気軌道長堀鶴見緑地線,横堤,2011/02/01 00:00
488,東京地下鉄有楽町線,東池袋,2011/02/01 00:00
489,名古屋市交通局桜通線,名古屋,2011/02/01 00:00
490,名古屋市交通局桜通線,国際センター,2011/02/01 00:00
491,大阪市高速電気軌道長堀鶴見緑地線,鶴見緑地,2011/02/01 00:00
492,西日本旅客鉄道JR東西線,北新地,2011/03/01 00:00
493,九州旅客鉄道九州新幹線,新鳥栖,2011/03/01 00:00
494,九州旅客鉄道九州新幹線,久留米,2011/03/01 00:00
495,九州旅客鉄道九州新幹線,筑後船小屋,2011/03/01 00:00
496,九州旅客鉄道九州新幹線,新大牟田,2011/03/01 00:00
497,九州旅客鉄道九州新幹線,新玉名,2011/03/01 00:00
498,九州旅客鉄道九州新幹線,熊本,2011/03/01 00:00
499,東京地下鉄有楽町線,護国寺,2011/03/01 00:00
500,名古屋市交通局桜通線,徳重,2011/03/01 00:00
501,名古屋市交通局桜通線,相生山,2011/03/01 00:00
502,名古屋市交通局桜通線,鳴子北,2011/03/01 00:00
503,名古屋市交通局桜通線,神沢,2011/03/01 00:00
504,名古屋市交通局桜通線,丸の内,2011/03/01 00:00
505,名古屋市交通局桜通線,久屋大通,2011/03/01 00:00
506,東京都交通局大江戸線,清澄白河,2011/04/01 00:00
507,名古屋市交通局桜通線,高岳,2011/04/01 00:00
508,名古屋市交通局桜通線,車道,2011/04/01 00:00
509,名古屋市交通局桜通線,今池,2011/04/01 00:00
510,名古屋市交通局桜通線,御器所,2011/05/01 00:00
511,名古屋市交通局桜通線,吹上,2011/05/01 00:00
512,名古屋市交通局桜通線,瑞穂運動場西,2011/06/01 00:00
513,名古屋市交通局桜通線,瑞穂区役所,2011/06/01 00:00
514,名古屋市交通局桜通線,桜山,2011/06/01 00:00
515,名古屋市交通局桜通線,鶴里,2011/07/01 00:00
516,名古屋市交通局桜通線,野並,2011/07/01 00:00
517,名古屋市交通局桜通線,新瑞橋,2011/07/01 00:00
518,東京都交通局大江戸線,門前仲町,2011/07/01 00:00
519,名古屋市交通局桜通線,桜本町,2011/07/01 00:00
520,東京地下鉄有楽町線,江戸川橋,2011/08/01 00:00
521,東京都交通局大江戸線,勝どき,2011/08/01 00:00
522,東京都交通局大江戸線,月島,2011/08/01 00:00
523,東京地下鉄有楽町線,飯田橋,2011/09/01 00:00
524,東京都交通局大江戸線,築地市場,2011/09/01 00:00
525,東京地下鉄有楽町線,市ケ谷,2011/10/01 00:00
526,東京都交通局大江戸線,汐留,2011/10/01 00:00
527,大阪市高速電気軌道長堀鶴見緑地線,門真南,2011/10/01 00:00
528,東京都交通局大江戸線,大門,2011/10/01 00:00
529,東京地下鉄有楽町線,麴町,2011/11/01 00:00
530,東京都交通局大江戸線,赤羽橋,2011/11/01 00:00
531,東京都交通局大江戸線,麻布十番,2011/11/01 00:00
532,東京都交通局大江戸線,青山一丁目,2011/12/01 00:00
533,東京都交通局大江戸線,六本木,2011/12/01 00:00
534,東京都交通局大江戸線,国立競技場,2012/01/01 00:00
535,東京都交通局大江戸線,代々木,2012/02/01 00:00
536,東京地下鉄有楽町線,永田町,2012/02/01 00:00
537,東京地下鉄有楽町線,桜田門,2012/02/01 00:00
538,東京都交通局大江戸線,新宿,2012/02/01 00:00
539,東京都交通局大江戸線,森下,2012/03/01 00:00
540,西日本旅客鉄道JR東西線,大阪天満宮,2012/03/01 00:00
541,東京都交通局大江戸線,都庁前,2012/03/01 00:00
542,東急電鉄東急大井町線,大井町,2012/03/01 00:00
543,東京地下鉄有楽町線,有楽町,2012/03/01 00:00
544,東京都交通局大江戸線,両国,2012/04/01 00:00
545,東京都交通局大江戸線,蔵前,2012/04/01 00:00
546,東京地下鉄有楽町線,銀座一丁目,2012/04/01 00:00
547,東京都交通局大江戸線,新御徒町,2012/05/01 00:00
548,東京都交通局大江戸線,上野御徒町,2012/05/01 00:00
549,東京都交通局大江戸線,本郷三丁目,2012/06/01 00:00
550,東京都交通局大江戸線,春日,2012/06/01 00:00
551,東武鉄道東武東上本線,和光市,2012/07/01 00:00
552,東京地下鉄副都心線,和光市,2012/07/01 00:00
553,東京地下鉄有楽町線,和光市,2012/07/01 00:00
554,札幌市交通局南北線,北34条,2012/07/01 00:00
555,札幌市交通局南北線,麻生,2012/07/01 00:00
556,札幌市交通局南北線,北24条,2012/08/01 00:00
557,京王電鉄京王線,布田,2012/08/01 00:00
558,京王電鉄京王線,国領,2012/08/01 00:00
559,東京都交通局大江戸線,飯田橋,2012/08/01 00:00
560,札幌市交通局南北線,北18条,2012/08/01 00:00
561,札幌市交通局南北線,さっぽろ,2012/09/01 00:00
562,京王電鉄京王線,調布,2012/09/01 00:00
563,札幌市交通局南北線,北12条,2012/09/01 00:00
564,小田急電鉄小田急小田原線,新宿,2012/09/01 00:00
565,東京都交通局大江戸線,牛込神楽坂,2012/09/01 00:00
566,東京都交通局大江戸線,牛込柳町,2012/09/01 00:00
567,札幌市交通局南北線,すすきの,2012/10/01 00:00
568,東京都交通局大江戸線,若松河田,2012/10/01 00:00
569,東京都交通局大江戸線,東新宿,2012/10/01 00:00
570,札幌市交通局南北線,大通,2012/10/01 00:00
571,東京都交通局大江戸線,新宿西口,2012/11/01 00:00
572,札幌市交通局南北線,中島公園,2012/11/01 00:00
573,札幌市交通局南北線,幌平橋,2012/11/01 00:00
574,東京都交通局大江戸線,光が丘,2012/12/01 00:00
575,東日本旅客鉄道山手線,大崎,2012/12/01 00:00
576,札幌市交通局南北線,平岸,2012/12/01 00:00
577,東京都交通局大江戸線,練馬春日町,2012/12/01 00:00
578,札幌市交通局南北線,中の島,2012/12/01 00:00
579,東京都交通局大江戸線,豊島園,2013/01/01 00:00
580,東京都交通局大江戸線,練馬,2013/01/01 00:00
581,札幌市交通局南北線,南平岸,2013/01/01 00:00
582,札幌市交通局南北線,澄川,2013/02/01 00:00
583,札幌市交通局南北線,自衛隊前,2013/02/01 00:00
584,東京都交通局大江戸線,新江古田,2013/02/01 00:00
585,東京都交通局大江戸線,落合南長崎,2013/02/01 00:00
586,東日本旅客鉄道山手線,池袋,2013/03/01 00:00
587,京王電鉄京王線,新宿,2013/03/01 00:00
588,東海旅客鉄道東海道新幹線,東京,2013/03/01 00:00
589,札幌市交通局南北線,真駒内,2013/03/01 00:00
590,東京都交通局大江戸線,中井,2013/03/01 00:00
591,東海旅客鉄道東海道新幹線,新大阪,2013/03/01 00:00
592,東京都交通局大江戸線,東中野,2013/03/01 00:00
593,東京都交通局大江戸線,中野坂上,2013/04/01 00:00
594,東京都交通局大江戸線,西新宿五丁目,2013/04/01 00:00
595,東日本旅客鉄道山手線,大塚,2013/04/01 00:00
596,東京地下鉄有楽町線,月島,2013/06/01 00:00
597,東京地下鉄有楽町線,新富町,2013/06/01 00:00
598,東日本旅客鉄道山手線,巣鴨,2013/06/01 00:00
599,東京地下鉄有楽町線,新木場,2013/06/01 00:00
600,東日本旅客鉄道山手線,駒込,2013/08/01 00:00
601,東日本旅客鉄道山手線,新大久保,2013/09/01 00:00
602,東京地下鉄有楽町線,豊洲,2013/10/01 00:00
603,東京地下鉄有楽町線,辰巳,2013/11/01 00:00
604,東日本旅客鉄道山手線,目白,2013/11/01 00:00
605,東急電鉄東急東横線,中目黒,2013/12/01 00:00
606,東日本旅客鉄道山手線,高田馬場,2013/12/01 00:00
607,東京地下鉄有楽町線,千川,2014/02/01 00:00
608,東日本旅客鉄道山手線,田町,2014/03/01 00:00
609,東海旅客鉄道東海道新幹線,名古屋,2014/03/01 00:00
610,東急電鉄東急東横線,学芸大学,2014/03/01 00:00
611,東武鉄道東武野田線,船橋,2014/03/01 00:00
612,大阪市高速電気軌道千日前線,南巽,2014/04/01 00:00
613,大阪市高速電気軌道千日前線,北巽,2014/05/01 00:00
614,東日本旅客鉄道山手線,御徒町,2014/05/01 00:00
615,東日本旅客鉄道山手線,西日暮里,2014/06/01 00:00
616,大阪市高速電気軌道千日前線,小路,2014/06/01 00:00
617,大阪市高速電気軌道千日前線,新深江,2014/06/01 00:00
618,大阪市高速電気軌道千日前線,今里,2014/07/01 00:00
619,大阪市高速電気軌道千日前線,谷町九丁目,2014/08/01 00:00
620,大阪市高速電気軌道千日前線,鶴橋,2014/08/01 00:00
621,東日本旅客鉄道山手線,有楽町,2014/08/01 00:00
622,大阪市高速電気軌道千日前線,日本橋,2014/09/01 00:00
623,大阪市高速電気軌道千日前線,桜川,2014/10/01 00:00
624,大阪市高速電気軌道千日前線,なんば,2014/10/01 00:00
625,東日本旅客鉄道山手線,鶯谷,2014/10/01 00:00
626,大阪市高速電気軌道千日前線,西長堀,2014/11/01 00:00
627,大阪市高速電気軌道千日前線,阿波座,2014/11/01 00:00
628,大阪市高速電気軌道千日前線,玉川,2014/12/01 00:00
629,京都市交通局烏丸線,烏丸御池,2014/12/01 00:00
630,大阪市高速電気軌道千日前線,野田阪神,2014/12/01 00:00
631,東日本旅客鉄道山手線,原宿,2014/12/01 00:00
632,東海旅客鉄道東海道新幹線,京都,2015/01/01 00:00
633,,天王寺,2015/02/01 00:00
634,東日本旅客鉄道山手線,田端,2015/02/01 00:00
635,東急電鉄東急東横線,代官山,2015/02/01 00:00
636,東武鉄道東武野田線,柏,2015/02/01 00:00
637,西日本旅客鉄道北陸新幹線,富山,2015/03/01 00:00
638,西日本旅客鉄道北陸新幹線,黒部宇奈月温泉,2015/03/01 00:00
639,西日本旅客鉄道北陸新幹線,糸魚川,2015/03/01 00:00
640,東日本旅客鉄道八高線,拝島,2015/03/01 00:00
641,広島高速交通広島新交通1号線,新白島,2015/03/01 00:00
642,西日本旅客鉄道北陸新幹線,新高岡,2015/03/01 00:00
643,東日本旅客鉄道山手線,五反田,2015/03/01 00:00
644,横浜高速鉄道みなとみらい21線,横浜駅,2015/03/01 00:00
645,東日本旅客鉄道北陸新幹線,上越妙高,2015/03/01 00:00
646,東急電鉄東急東横線,武蔵小杉,2015/03/01 00:00
647,東急電鉄東急東横線,横浜,2015/03/01 00:00
648,,心斎橋,2015/03/01 00:00
649,西日本旅客鉄道北陸新幹線,金沢,2015/03/01 00:00
650,東日本旅客鉄道北陸新幹線,飯山,2015/03/01 00:00
651,西日本旅客鉄道東海道線,六甲道,2015/04/01 00:00
652,東日本旅客鉄道山手線,秋葉原,2015/06/01 00:00
653,名古屋市交通局東山線,中村公園,2015/09/01 00:00
654,名古屋市交通局東山線,八田,2015/09/01 00:00
655,名古屋市交通局東山線,高畑,2015/09/01 00:00
656,名古屋市交通局東山線,岩塚,2015/09/01 00:00
657,名古屋市交通局東山線,中村日赤,2015/10/01 00:00
658,名古屋市交通局東山線,亀島,2015/10/01 00:00
659,名古屋市交通局東山線,名古屋,2015/10/01 00:00
660,京都市交通局烏丸線,四条,2015/10/01 00:00
661,東日本旅客鉄道山手線,代々木,2015/10/01 00:00
662,名古屋市交通局東山線,本陣,2015/10/01 00:00
663,名古屋市交通局東山線,新栄町,2015/11/01 00:00
664,名古屋市交通局東山線,今池,2015/11/01 00:00
665,名古屋市交通局東山線,千種,2015/11/01 00:00
666,名古屋市交通局東山線,栄,2015/11/01 00:00
667,名古屋市交通局東山線,伏見,2015/11/01 00:00
668,仙台市交通局東西線,青葉山,2015/12/01 00:00
669,仙台市交通局東西線,川内,2015/12/01 00:00
670,仙台市交通局東西線,国際センター,2015/12/01 00:00
671,東急電鉄東急田園都市線,宮前平,2015/12/01 00:00
672,仙台市交通局東西線,八木山動物公園,2015/12/01 00:00
673,東急電鉄東急東横線,新丸子,2015/12/01 00:00
674,仙台市交通局東西線,荒井,2015/12/01 00:00
675,東日本旅客鉄道山手線,上野,2015/12/01 00:00
676,仙台市交通局東西線,仙台,2015/12/01 00:00
677,名古屋市交通局東山線,覚王山,2015/12/01 00:00
678,仙台市交通局東西線,卸町,2015/12/01 00:00
679,京都市交通局烏丸線,京都,2015/12/01 00:00
680,仙台市交通局東西線,青葉通一番町,2015/12/01 00:00
681,仙台市交通局東西線,宮城野通,2015/12/01 00:00
682,仙台市交通局東西線,連坊,2015/12/01 00:00
683,仙台市交通局東西線,大町西公園,2015/12/01 00:00
684,名古屋市交通局東山線,本山,2015/12/01 00:00
685,仙台市交通局東西線,六丁の目,2015/12/01 00:00
686,名古屋市交通局東山線,池下,2015/12/01 00:00
687,京王電鉄京王井の頭線,吉祥寺,2015/12/01 00:00
688,仙台市交通局東西線,薬師堂,2015/12/01 00:00
689,名古屋市交通局東山線,星ヶ丘,2016/01/01 00:00
690,名古屋市交通局東山線,東山公園,2016/01/01 00:00
691,東急電鉄東急東横線,元住吉,2016/02/01 00:00
692,東日本旅客鉄道山手線,神田,2016/02/01 00:00
693,名古屋市交通局東山線,一社,2016/02/01 00:00
694,名古屋市交通局東山線,上社,2016/02/01 00:00
695,名古屋市交通局東山線,本郷,2016/02/01 00:00
696,名古屋市交通局東山線,藤が丘,2016/02/01 00:00
697,北海道旅客鉄道北海道新幹線,新函館北斗,2016/03/01 00:00
698,北海道旅客鉄道北海道新幹線,木古内,2016/03/01 00:00
699,北海道旅客鉄道北海道新幹線,奥津軽いまべつ,2016/03/01 00:00
700,相模鉄道相鉄本線,横浜,2016/03/01 00:00
701,東日本旅客鉄道山手線,日暮里,2016/03/01 00:00
702,東京地下鉄銀座線,上野,2016/03/01 00:00
703,東急電鉄東急東横線,菊名,2016/03/01 00:00
704,西武鉄道西武池袋線,池袋,2016/03/01 00:00
705,西日本旅客鉄道東海道線,高槻,2016/03/01 00:00
706,西日本旅客鉄道JR東西線,京橋,2016/03/01 00:00
707,東急電鉄東急大井町線,溝の口,2016/04/01 00:00
708,東急電鉄東急東横線,大倉山,2016/05/01 00:00
709,東急電鉄東急東横線,都立大学,2016/06/01 00:00
710,東日本旅客鉄道山手線,品川,2016/08/01 00:00
711,札幌市交通局東豊線,栄町,2016/08/01 00:00
712,札幌市交通局東豊線,月寒中央,2016/09/01 00:00
713,札幌市交通局東豊線,福住,2016/09/01 00:00
714,札幌市交通局東豊線,美園,2016/10/01 00:00
715,札幌市交通局東豊線,豊平公園,2016/10/01 00:00
716,東急電鉄東急大井町線,緑が丘,2016/11/01 00:00
717,札幌市交通局東豊線,学園前,2016/11/01 00:00
718,札幌市交通局東豊線,豊水すすきの,2016/11/01 00:00
719,東急電鉄東急東横線,反町,2016/11/01 00:00
720,東急電鉄東急東横線,田園調布,2016/12/01 00:00
721,札幌市交通局東豊線,大通,2016/12/01 00:00
722,東急電鉄東急大井町線,尾山台,2016/12/01 00:00
723,札幌市交通局東豊線,さっぽろ,2016/12/01 00:00
724,札幌市交通局東豊線,北13条東,2017/01/01 00:00
725,札幌市交通局東豊線,東区役所前,2017/02/01 00:00
726,札幌市交通局東豊線,環状通東,2017/02/01 00:00
727,東急電鉄東急東横線,日吉,2017/02/01 00:00
728,札幌市交通局東豊線,新道東,2017/03/01 00:00
729,東急電鉄東急大井町線,中延,2017/03/01 00:00
730,札幌市交通局東豊線,元町,2017/03/01 00:00
731,東日本旅客鉄道東北本線,赤羽,2017/03/01 00:00
732,東急電鉄東急大井町線,上野毛,2017/04/01 00:00
733,東日本旅客鉄道北陸新幹線,軽井沢,2017/04/01 00:00
734,西日本旅客鉄道東海道線,大阪,2017/05/01 00:00
735,東京地下鉄銀座線,浅草,2017/06/01 00:00
736,東急電鉄東急東横線,祐天寺,2017/06/01 00:00
737,東京地下鉄銀座線,稲荷町,2017/07/01 00:00
738,東京地下鉄銀座線,田原町,2017/07/01 00:00
739,東日本旅客鉄道横浜線,町田,2017/07/01 00:00
740,東日本旅客鉄道東北本線,さいたま新都心,2017/09/01 00:00
741,北大阪急行電鉄南北線,千里中央,2017/09/01 00:00
742,東京地下鉄銀座線,上野広小路,2017/09/01 00:00
743,東日本旅客鉄道東北本線,浦和,2017/10/01 00:00
744,東急電鉄東急田園都市線,駒沢大学,2017/10/01 00:00
745,東京地下鉄銀座線,末広町,2017/10/01 00:00
746,東京地下鉄銀座線,神田,2017/11/01 00:00
747,立山黒部貫光鋼索線,黒部平,2017/11/01 00:00
748,東急電鉄東急田園都市線,市が尾,2017/12/01 00:00
749,東急電鉄東急田園都市線,溝の口,2017/12/01 00:00
750,東急電鉄東急田園都市線,三軒茶屋,2017/12/01 00:00
751,東京地下鉄銀座線,青山一丁目,2017/12/01 00:00
752,東京地下鉄銀座線,外苑前,2017/12/01 00:00
753,東日本旅客鉄道東北本線,上野,2017/12/01 00:00
754,東京地下鉄銀座線,赤坂見附,2018/02/01 00:00
755,東京地下鉄東西線,九段下,2018/02/01 00:00
756,北大阪急行電鉄南北線,緑地公園,2018/02/01 00:00
757,東急電鉄東急田園都市線,二子玉川,2018/02/01 00:00
758,東日本旅客鉄道東北本線,大井町,2018/02/01 00:00
759,京成電鉄京成本線,日暮里,2018/02/01 00:00
760,東京地下鉄銀座線,三越前,2018/03/01 00:00
761,東急電鉄東急大井町線,荏原町,2018/03/01 00:00
762,神戸市交通局西神線,三宮,2018/03/01 00:00
763,東急電鉄東急田園都市線,用賀,2018/03/01 00:00
764,西日本旅客鉄道東海道線,ＪＲ総持寺,2018/03/01 00:00
765,東急電鉄東急東横線,妙蓮寺,2018/03/01 00:00
766,東急電鉄東急東横線,自由が丘,2018/03/01 00:00
767,東急電鉄東急東横線,綱島,2018/03/01 00:00
768,東武鉄道東武東上本線,川越,2018/03/01 00:00
769,横浜高速鉄道みなとみらい21線,みなとみらい駅,2018/03/01 00:00
770,北大阪急行電鉄南北線,桃山台,2018/03/01 00:00
771,東京地下鉄銀座線,日本橋,2018/03/01 00:00
772,東京地下鉄半蔵門線,九段下,2018/03/01 00:00
773,東日本旅客鉄道東北本線,鶴見,2018/03/01 00:00
774,東急電鉄東急田園都市線,江田,2018/03/01 00:00
775,東京地下鉄銀座線,銀座,2018/04/01 00:00
776,東京都交通局新宿線,本八幡,2018/04/01 00:00
777,東武鉄道東武東上本線,池袋,2018/04/01 00:00
778,東日本旅客鉄道上越新幹線,新潟,2018/04/01 00:00
779,東京地下鉄銀座線,虎ノ門,2018/05/01 00:00
780,東京都交通局新宿線,篠崎,2018/05/01 00:00
781,東京都交通局新宿線,一之江,2018/06/01 00:00
782,東京都交通局新宿線,瑞江,2018/06/01 00:00
783,東急電鉄東急田園都市線,桜新町,2018/06/01 00:00
784,東京地下鉄東西線,高田馬場,2018/06/01 00:00
785,東京都交通局新宿線,船堀,2018/07/01 00:00
786,東京地下鉄銀座線,溜池山王,2018/07/01 00:00
787,東京地下鉄銀座線,表参道,2018/07/01 00:00
788,東急電鉄東急田園都市線,池尻大橋,2018/07/01 00:00
789,東日本旅客鉄道東北本線,桜木町,2018/08/01 00:00
790,東京都交通局新宿線,東大島,2018/08/01 00:00
791,東京地下鉄半蔵門線,青山一丁目,2018/08/01 00:00
792,東京地下鉄銀座線,京橋,2018/08/01 00:00
793,東京臨海高速鉄道りんかい線,国際展示場,2018/09/01 00:00
794,東日本旅客鉄道東北本線,有楽町,2018/09/01 00:00
795,東京都交通局新宿線,大島,2018/09/01 00:00
796,東京地下鉄銀座線,新橋,2018/09/01 00:00
797,東京都交通局新宿線,西大島,2018/09/01 00:00
798,東急電鉄東急大井町線,九品仏,2018/09/01 00:00
799,東急電鉄東急田園都市線,あざみ野,2018/09/01 00:00
800,東急電鉄東急田園都市線,たまプラーザ,2018/09/01 00:00
801,九州旅客鉄道筑肥線,九大学研都市駅,2018/09/01 00:00
802,東京地下鉄千代田線,代々木公園,2018/10/01 00:00
803,東京地下鉄千代田線,日比谷,2018/10/01 00:00
804,東京地下鉄半蔵門線,表参道,2018/10/01 00:00
805,東京都交通局新宿線,住吉,2018/10/01 00:00
806,,新宿,2018/11/01 00:00
807,東京地下鉄東西線,飯田橋,2018/11/01 00:00
808,東京地下鉄千代田線,二重橋前,2018/11/01 00:00
809,東京都交通局新宿線,森下,2018/11/01 00:00
810,東京都交通局新宿線,菊川,2018/11/01 00:00
811,東日本旅客鉄道東北本線,御徒町,2018/12/01 00:00
812,東日本旅客鉄道総武本線,新小岩,2018/12/01 00:00
813,東急電鉄東急田園都市線,つきみ野,2018/12/01 00:00
814,東京地下鉄千代田線,表参道,2018/12/01 00:00
815,東日本旅客鉄道東北本線,東神奈川,2018/12/01 00:00
816,東日本旅客鉄道東北本線,品川,2018/12/01 00:00
817,京王電鉄京王井の頭線,渋谷,2018/12/01 00:00
818,東京都交通局新宿線,浜町,2018/12/01 00:00
819,近畿日本鉄道近鉄南大阪線,大阪阿部野橋,2018/12/01 00:00
820,東急電鉄東急田園都市線,高津,2018/12/01 00:00
821,東京地下鉄東西線,早稲田,2018/12/01 00:00
822,東京都交通局新宿線,馬喰横山,2019/01/01 00:00
823,東京地下鉄千代田線,湯島,2019/01/01 00:00
824,東日本旅客鉄道東北本線,王子,2019/02/01 00:00
825,東京都交通局新宿線,新宿,2019/02/01 00:00
826,阪急電鉄阪急宝塚本線,十三駅,2019/02/01 00:00
827,東京地下鉄半蔵門線,半蔵門,2019/02/01 00:00
828,東京地下鉄千代田線,大手町,2019/02/01 00:00
829,東日本旅客鉄道東北本線,秋葉原,2019/02/01 00:00
830,東日本旅客鉄道東北本線,南浦和,2019/02/01 00:00
831,東急電鉄東急田園都市線,長津田,2019/03/01 00:00
832,東急電鉄東急田園都市線,渋谷,2019/03/01 00:00
833,東急電鉄東急大井町線,自由が丘,2019/03/01 00:00
834,東急電鉄東急大井町線,二子玉川,2019/03/01 00:00
835,東急電鉄東急大井町線,旗の台,2019/03/01 00:00
836,小田急電鉄小田急小田原線,下北沢,2019/03/01 00:00
837,東京都交通局新宿線,岩本町,2019/03/01 00:00
838,東武鉄道東武東上本線,朝霞,2019/03/01 00:00
839,西日本旅客鉄道山陽線,梅小路京都西,2019/03/01 00:00
840,東急電鉄東急田園都市線,梶が谷,2019/03/01 00:00
841,東京地下鉄千代田線,千駄木,2019/03/01 00:00
842,小田急電鉄小田急小田原線,代々木八幡,2019/03/01 00:00
843,東京地下鉄半蔵門線,永田町,2019/03/01 00:00
844,東京地下鉄半蔵門線,渋谷,2019/03/01 00:00
845,大阪モノレール大阪モノレール線,千里中央,2019/03/01 00:00
846,南海電気鉄道南海高野線,難波,2019/03/01 00:00
847,東京地下鉄東西線,神楽坂,2019/03/01 00:00
848,京成電鉄京成本線,空港第２ビル駅,2019/03/01 00:00
849,横浜高速鉄道みなとみらい21線,日本大通り駅,2019/03/01 00:00
850,京王電鉄京王線,飛田給,2019/03/01 00:00
