,,,,,,,,
,,ホームドアの設置状況,,,,,,
,,,,,,ホームドア設置駅数　　　　943駅,,
,,,,,,ホームドア設置番線数　　2192番線,,
,,,,,（令和2年度末　移動等円滑化実績報告による）,,,
,,,,,,,,
,駅数,事業者名,駅名,路線名,番線（のりば）,,ホームドアの種別,ホームの形状
,1,JR北海道,奥津軽いまべつ,北海道新幹線,11,,可動式ホーム柵,相対式2面3線
,1,,,北海道新幹線,12,,可動式ホーム柵,相対式2面3線
,2,JR北海道,木古内,北海道新幹線,11,,可動式ホーム柵,相対式2面3線
,2,,,北海道新幹線,12,,可動式ホーム柵,相対式2面3線
,3,JR北海道,新函館北斗,北海道新幹線,11,,可動式ホーム柵,相対式・島式2面2線
,3,,,北海道新幹線,12,,可動式ホーム柵,相対式・島式2面2線
,4,JR東日本,くりこま高原,東北新幹線,11,,可動式ホーム柵,相対式2面2線
,4,,,東北新幹線,12,,可動式ホーム柵,相対式2面2線
,5,JR東日本,水沢江刺,東北新幹線,1,,可動式ホーム柵,相対式2面2線
,5,,,東北新幹線,2,,可動式ホーム柵,相対式2面2線
,6,JR東日本,新花巻,東北新幹線,1,,可動式ホーム柵,相対式2面2線
,6,,,東北新幹線,2,,可動式ホーム柵,相対式2面2線
,7,JR東日本,いわて沼宮内,東北新幹線,1,,可動式ホーム柵,相対式2面2線
,7,,,東北新幹線,2,,可動式ホーム柵,相対式2面2線
,8,JR東日本,二戸,東北新幹線,1,,可動式ホーム柵,相対式2面2線
,8,,,東北新幹線,2,,可動式ホーム柵,相対式2面2線
,9,JR東日本,八戸,東北新幹線,12,,可動式ホーム柵,島式2面4線
,9,,,東北新幹線,13,,可動式ホーム柵,島式2面4線
,10,JR東日本,七戸十和田,東北新幹線,1,,可動式ホーム柵,相対式2面2線
,10,,,東北新幹線,2,,可動式ホーム柵,相対式2面2線
,11,JR東日本,新青森,東北新幹線,11,,可動式ホーム柵,島式2面4線
,11,,,東北新幹線,12,,可動式ホーム柵,島式2面4線
,11,,,東北新幹線,13,,可動式ホーム柵,島式2面4線
,11,,,東北新幹線,14,,可動式ホーム柵,島式2面4線
,12,JR東日本,新潟,上越新幹線,11,,可動式ホーム柵,島式3面4線
,13,JR東日本,安中榛名,北陸新幹線,1,,可動式ホーム柵,相対式2面2線
,13,,,北陸新幹線,2,,可動式ホーム柵,相対式2面2線
,14,JR東日本,軽井沢,北陸新幹線,2,,可動式ホーム柵,相対式2面4線
,14,,,北陸新幹線,3,,可動式ホーム柵,相対式2面4線
,15,JR東日本,佐久平,北陸新幹線,1,,可動式ホーム柵,相対式2面2線
,15,,,北陸新幹線,2,,可動式ホーム柵,相対式2面2線
,16,JR東日本,上田,北陸新幹線,1,,可動式ホーム柵,相対式2面2線
,16,,,北陸新幹線,2,,可動式ホーム柵,相対式2面2線
,17,JR東日本,飯山,北陸新幹線,11,,可動式ホーム柵,相対式2面2線
,17,,,北陸新幹線,12,,可動式ホーム柵,相対式2面2線
,18,JR東日本,上越妙高,北陸新幹線,11,,可動式ホーム柵,相対式2面4線
,18,,,北陸新幹線,12,,可動式ホーム柵,相対式2面4線
,18,,,北陸新幹線,13,,可動式ホーム柵,相対式2面4線
,18,,,北陸新幹線,14,,可動式ホーム柵,相対式2面4線
,19,JR東日本,恵比寿,山手線,1,,可動式ホーム柵,島式1面2線
,19,,,山手線,2,,可動式ホーム柵,島式1面2線
,20,JR東日本,目黒,山手線,1,,可動式ホーム柵,島式1面2線
,20,,,山手線,2,,可動式ホーム柵,島式1面2線
,21,JR東日本,大崎,山手線,1,,可動式ホーム柵,島式2面4線
,21,,,山手線,3,,可動式ホーム柵,島式2面4線
,22,JR東日本,池袋,山手線,6,,可動式ホーム柵,島式2面4線
,22,,,山手線,7,,可動式ホーム柵,島式2面4線
,23,JR東日本,大塚,山手線,1,,可動式ホーム柵,島式1面2線
,23,,,山手線,2,,可動式ホーム柵,島式1面2線
,24,JR東日本,巣鴨,山手線,1,,可動式ホーム柵,島式1面2線
,24,,,山手線,2,,可動式ホーム柵,島式1面2線
,25,JR東日本,駒込,山手線,1,,可動式ホーム柵,島式1面2線
,25,,,山手線,2,,可動式ホーム柵,島式1面2線
,26,JR東日本,新大久保,山手線,1,,可動式ホーム柵,島式1面2線
,26,,,山手線,2,,可動式ホーム柵,島式1面2線
,27,JR東日本,目白,山手線,1,,可動式ホーム柵,島式1面2線
,27,,,山手線,2,,可動式ホーム柵,島式1面2線
,28,JR東日本,高田馬場,山手線,1,,可動式ホーム柵,島式1面2線
,28,,,山手線,2,,可動式ホーム柵,島式1面2線
,29,JR東日本,田町,山手線,2,,可動式ホーム柵,島式2面4線
,29,,,山手線,3,,可動式ホーム柵,島式2面4線
,30,JR東日本,御徒町,京浜東北線,1,,可動式ホーム柵,島式2面4線
,30,,,山手線,2,,可動式ホーム柵,島式2面4線
,30,,,山手線,3,,可動式ホーム柵,島式2面4線
,30,,,京浜東北線,4,,可動式ホーム柵,島式2面4線
,31,JR東日本,西日暮里,京浜東北線,1,,可動式ホーム柵,島式2面4線
,31,,,山手線,2,,可動式ホーム柵,島式2面4線
,31,,,山手線,3,,可動式ホーム柵,島式2面4線
,31,,,京浜東北線,4,,可動式ホーム柵,島式2面4線
,32,JR東日本,有楽町,京浜東北線,1,,可動式ホーム柵,島式2面4線
,32,,,山手線,2,,可動式ホーム柵,島式2面4線
,32,,,山手線,3,,可動式ホーム柵,島式2面4線
,32,,,京浜東北線,4,,可動式ホーム柵,島式2面4線
