駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,,当該路線の設置状況
42,東急電鉄,田園都市線,宮前平,神奈川県川崎市,相対式2面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,,,◎全駅
43,東急電鉄,田園都市線,駒沢大学,東京都世田谷区,島式1面2線,1・2番線,可動式ホーム柵,2017/10/01 00:00,,,
,東急電鉄,田園都市線,溝の口,神奈川県川崎市,島式2面4線,1・4番線,可動式ホーム柵,2017/12/01 00:00,○,（参照）【東急大井町線】,
44,東急電鉄,田園都市線,三軒茶屋,東京都世田谷区,相対式2面2線,1・2番線,可動式ホーム柵,2017/12/01 00:00,○,,
45,東急電鉄,田園都市線,市が尾,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2017/12/01 00:00,,,
46,東急電鉄,田園都市線,二子玉川,東京都世田谷区,島式2面4線,1・4番線,可動式ホーム柵,2018/02/01 00:00,○,東急大井町線ホーム側（2・3番線）はH31.3に設置,
47,東急電鉄,田園都市線,用賀,東京都世田谷区,相対式2面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,,,
48,東急電鉄,田園都市線,江田,神奈川県横浜市,島式2面4線,2・4番線,可動式ホーム柵,2018/03/01 00:00,,1・3番線は通過線（固定柵あり）,
49,東急電鉄,田園都市線,桜新町,東京都世田谷区,相対式2層2面4線,1・2番線,可動式ホーム柵,2018/06/01 00:00,,3・4番線ホームなし（通過線）,
50,東急電鉄,田園都市線,池尻大橋,東京都世田谷区,相対式2面2線,1・2番線,可動式ホーム柵,2018/07/01 00:00,,,
51,東急電鉄,田園都市線,あざみ野,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2018/09/01 00:00,○,,
52,東急電鉄,田園都市線,たまプラーザ,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2018/09/01 00:00,,,
53,東急電鉄,田園都市線,つきみ野,神奈川県大和市,相対式2面2線,1・2番線,可動式ホーム柵,2018/12/01 00:00,,,
54,東急電鉄,田園都市線,高津,神奈川県川崎市,相対式2面4線,1・4番線,可動式ホーム柵,2018/12/01 00:00,,2・3番線ホームなし（通過線）,
55,東急電鉄,田園都市線,梶が谷,神奈川県川崎市,島式2面4線,1・2・3番線,可動式ホーム柵,2019/03/01 00:00,,4番線は通過線（固定柵あり）,
56,東急電鉄,田園都市線,長津田,神奈川県横浜市,島式2面4線,3・4・5・6番線,可動式ホーム柵,2019/03/01 00:00,○,3・4番線はH30.12に設置、5・6番線はH31.3に設置、7番線（こどもの国線）は未設置,
,東急電鉄,田園都市線,渋谷,東京都渋谷区,島式1面2線,1・2番線,可動式ホーム柵,2019/03/01 00:00,○,東京メトロ半蔵門線と共用（参照）【東急東横線】,
57,東急電鉄,田園都市線,藤が丘,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2019/05/01 00:00,,,
58,東急電鉄,田園都市線,田奈,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2019/05/01 00:00,,,
59,東急電鉄,田園都市線,二子新地,神奈川県川崎市,相対式2面2線,1・2番線,可動式ホーム柵,2019/06/01 00:00,,,
60,東急電鉄,田園都市線,青葉台,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2019/08/01 00:00,○,,
61,東急電鉄,田園都市線,南町田グランベリーパーク,東京都町田市,相対式2面2線,1・2番線,可動式ホーム柵,2019/09/01 00:00,,,
62,東急電鉄,田園都市線,宮崎台,神奈川県川崎市,相対式2面2線,1・2番線,可動式ホーム柵,2019/09/01 00:00,,,
63,東急電鉄,田園都市線,つくし野,東京都町田市,相対式2面2線,1・2番線,可動式ホーム柵,2019/09/01 00:00,,,
64,東急電鉄,田園都市線,すずかけ台,東京都町田市,相対式2面2線,1・2番線,可動式ホーム柵,2019/12/01 00:00,,,
65,東急電鉄,田園都市線,中央林間,神奈川県大和市,島式1面2線,1・2番線,可動式ホーム柵,2019/12/01 00:00,○,,
66,東急電鉄,田園都市線,鷺沼,神奈川県川崎市,島式2面4線,1・2・3・4番線,可動式ホーム柵,2020/02/01 00:00,,,
1,京急電鉄,空港線,羽田空港第3ターミナル,東京都大田区,相対式2面2線,1・2番線,可動式ホーム柵,2010/10/01 00:00,,,△一部の駅
2,京急電鉄,空港線,羽田空港第１・第２ターミナル,東京都大田区,島式１面2線,1・2番線,可動式ホーム柵,Ｈ31.2,,,
3,京急電鉄,本線・空港線,京急蒲田,東京都大田区,島式2面6線,1・4・3・6番線,可動式ホーム柵,2019/04/01 00:00,,3・6番線はR1.8に設置、2番線、5番線はホーム固定柵を設置,
4,京急電鉄,本線,横浜,神奈川県横浜市,島式１面2線,1・2番線,可動式ホーム柵,2019/09/01 00:00,○,,
5,京急電鉄,本線,上大岡,神奈川県横浜市,相対式2面4線,1・2・3・4番線,可動式ホーム柵,2019/11/01 00:00,○,3・4番線はR2.2に設置,
1,相模鉄道,本線,横浜,神奈川県横浜市,くし型4面3線,1・2・3番線,可動式ホーム柵,2016/03/01 00:00,○,1・2番線はH29.3に設置,△一部の駅
2,相模鉄道,相鉄新横浜線,羽沢横浜国大駅,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2019/11,,,
1,名古屋鉄道,小牧線,上飯田,愛知県愛知県名古屋市北区,島式1面2線,1・2番線,可動式ホーム柵,2003/03/01 00:00,,,△一部の駅
2,名古屋鉄道,空港線,中部国際空港,愛知県常滑市,単式1面1線・島式1面2線,1番線,ホームドア,2006/04/01 00:00,,2・3番線は未設置,△一部の駅
1,近畿日本鉄道,南大阪線,大阪阿部野橋,大阪府大阪市阿倍野区,くし形6面5線,3・4番線,昇降式ホーム柵,2018/12/01 00:00,○,4番線はH31.2に設置。1・2・5・6番線は未設置,△一部の駅
1,阪急電鉄,宝塚線,十三駅,大阪府大阪市淀川区,島式2面4線、相対式2面2線,3・4・5番線,可動式ホーム柵,2019/02/01 00:00,,3番線はH30.9に設置、1・2・6番線は未設置,△一部の駅
1,南海電気鉄道,高野線,難波,大阪府大阪市中央区,くし形9面8線,1番線,可動式ホーム柵,2019/03/01 00:00,○,2～8番線は未設置,△一部の駅
1,東京臨海高速鉄道,臨海副都心線（りんかい線）,国際展示場,東京都江東区,島式1面2線,1・2番線,可動式ホーム柵,2018/09/01 00:00,,,△一部の駅
2,東京臨海高速鉄道,臨海副都心線（りんかい線）,大井町,東京都品川区,単式二層2面2線,1・2番線,可動式ホーム柵,2020/02/01 00:00,,,
,横浜高速鉄道,みなとみらい21線,横浜駅,神奈川県横浜市西区,島式1面2線,1・2番線,可動式ホーム柵,2015/03/01 00:00,○,（参照）【東急東横線】,△一部の駅
1,横浜高速鉄道,みなとみらい21線,みなとみらい駅,神奈川県横浜市西区,島式1面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,,,
2,横浜高速鉄道,みなとみらい21線,馬車道駅,神奈川県横浜市西区,島式1面2線,1・2番線,可動式ホーム柵,2019/09/01 00:00,,,
3,横浜高速鉄道,みなとみらい21線,日本大通り駅,神奈川県横浜市中区,島式1面2線,1・2番線,可動式ホーム柵,2019/03/01 00:00,,,
4,横浜高速鉄道,みなとみらい21線,元町･中華街駅,神奈川県横浜市中区,島式1面2線,1・2番線,可動式ホーム柵,2020/03/01 00:00,,,
,埼玉高速鉄道,埼玉高速鉄道線,赤羽岩淵,東京都北区,島式1面2線,1・2番線,ホームドア,1991/11/01 00:00,○,（参照）【東京メトロ南北線】,◎全駅
1,埼玉高速鉄道,埼玉高速鉄道線,川口元郷,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2001/03/01 00:00,,,
2,埼玉高速鉄道,埼玉高速鉄道線,南鳩ヶ谷,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2001/03/01 00:00,,,
3,埼玉高速鉄道,埼玉高速鉄道線,鳩ヶ谷,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2001/03/01 00:00,,,
4,埼玉高速鉄道,埼玉高速鉄道線,新井宿,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2001/03/01 00:00,,,
5,埼玉高速鉄道,埼玉高速鉄道線,戸塚安行,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2001/03/01 00:00,,,
6,埼玉高速鉄道,埼玉高速鉄道線,東川口,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2001/03/01 00:00,,,
7,埼玉高速鉄道,埼玉高速鉄道線,浦和美園,埼玉県さいたま市緑区,島式1面、相対式1面2線,1・2・3番線,可動式ホーム柵,2001/03/01 00:00,,臨時ホーム（3番線）はH31.3設置,
1,北大阪急行電鉄,南北線,緑地公園,大阪府豊中市,相対式2面2線,1・2番線,可動式ホーム柵,2018/02/01 00:00,,,◎全駅
2,北大阪急行電鉄,南北線,桃山台,大阪府吹田市,島式1面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,,,
3,北大阪急行電鉄,南北線,千里中央,大阪府豊中市,島式1面2線,1・2番線,可動式ホーム柵,2017/09/01 00:00,,,
1,首都圏新都市鉄道,つくばエクスプレス,秋葉原,東京都千代田区,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,○,,◎全駅
2,首都圏新都市鉄道,つくばエクスプレス,新御徒町,東京都台東区,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
3,首都圏新都市鉄道,つくばエクスプレス,浅草,東京都台東区,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
4,首都圏新都市鉄道,つくばエクスプレス,南千住,東京都荒川区,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
5,首都圏新都市鉄道,つくばエクスプレス,北千住,東京都足立区,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,○,,
6,首都圏新都市鉄道,つくばエクスプレス,青井,東京都足立区,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
7,首都圏新都市鉄道,つくばエクスプレス,六町,東京都足立区,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
8,首都圏新都市鉄道,つくばエクスプレス,八潮,埼玉県八潮市,島式2面4線,1・2・3・4番線,可動式ホーム柵,2005/08/01 00:00,,,
9,首都圏新都市鉄道,つくばエクスプレス,三郷中央,埼玉県三郷市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
10,首都圏新都市鉄道,つくばエクスプレス,南流山,千葉県流山市,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
11,首都圏新都市鉄道,つくばエクスプレス,流山セントラルパーク,千葉県流山市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
12,首都圏新都市鉄道,つくばエクスプレス,流山おおたかの森,千葉県流山市,島式2面4線,1・2・3・4番線,可動式ホーム柵,2005/08/01 00:00,,,
13,首都圏新都市鉄道,つくばエクスプレス,柏の葉キャンパス,千葉県柏市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
14,首都圏新都市鉄道,つくばエクスプレス,柏たなか,千葉県柏市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
15,首都圏新都市鉄道,つくばエクスプレス,守谷,茨城県守谷市,島式2面4線,1・2・3・4番線,可動式ホーム柵,2005/08/01 00:00,,,
16,首都圏新都市鉄道,つくばエクスプレス,みらい平,茨城県つくばみらい市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
17,首都圏新都市鉄道,つくばエクスプレス,みどりの,茨城県つくば市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
18,首都圏新都市鉄道,つくばエクスプレス,万博記念公園,茨城県つくば市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
19,首都圏新都市鉄道,つくばエクスプレス,研究学園,茨城県つくば市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
20,首都圏新都市鉄道,つくばエクスプレス,つくば,茨城県つくば市,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,
1,立山黒部貫光,鋼索線,黒部平,富山県立山町,相対式2面1線,扇沢方面,可動式ホーム柵,2017/11/01 00:00,,平成30年度の営業開始日（4/15）から供用開始,△一部の駅
1,名古屋臨海高速鉄道,あおなみ線,名古屋,愛知県愛知県愛知県名古屋市中村区,島式1面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,◎全駅
2,名古屋臨海高速鉄道,あおなみ線,ささしまライブ,愛知県愛知県名古屋市中村区,相対式2面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,
3,名古屋臨海高速鉄道,あおなみ線,小本,愛知県愛知県名古屋市中村区,島式1面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,
4,名古屋臨海高速鉄道,あおなみ線,荒子,愛知県愛知県名古屋市中川区,島式1面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,
5,名古屋臨海高速鉄道,あおなみ線,南荒子,愛知県愛知県名古屋市中川区,島式1面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,
6,名古屋臨海高速鉄道,あおなみ線,中島,愛知県愛知県名古屋市中川区,相対式2面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,
7,名古屋臨海高速鉄道,あおなみ線,名古屋競馬場前,愛知県愛知県名古屋市中川区,島式1面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,
8,名古屋臨海高速鉄道,あおなみ線,荒子川公園,愛知県愛知県名古屋市中川区,相対式2面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,
9,名古屋臨海高速鉄道,あおなみ線,稲永,愛知県愛知県名古屋市港区,相対式2面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,
10,名古屋臨海高速鉄道,あおなみ線,野跡,愛知県愛知県名古屋市港区,島式1面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,
11,名古屋臨海高速鉄道,あおなみ線,金城ふ頭,愛知県愛知県名古屋市港区,島式1面2線,1・2番線,ホームドア,2004/10/01 00:00,,,
1,札幌市交通局,東西線,宮の沢,北海道札幌市西区,島式1面2線,1・2番線,可動式ホーム柵,2009/03/01 00:00,,,◎全駅
2,札幌市交通局,東西線,発寒南,北海道札幌市西区,島式1面2線,1・2番線,可動式ホーム柵,2009/02/01 00:00,,,
3,札幌市交通局,東西線,琴似,北海道札幌市西区,島式1面2線,1・2番線,可動式ホーム柵,2009/02/01 00:00,,,
4,札幌市交通局,東西線,二十四軒,北海道札幌市西区,相対式2面2線,1・2番線,可動式ホーム柵,2009/02/01 00:00,,,
5,札幌市交通局,東西線,西28丁目,北海道札幌市中央区,相対式2面2線,1・2番線,可動式ホーム柵,2009/01/01 00:00,,,
6,札幌市交通局,東西線,円山公園,北海道札幌市中央区,相対式2面2線,1・2番線,可動式ホーム柵,2009/01/01 00:00,,,
7,札幌市交通局,東西線,西18丁目,北海道札幌市中央区,相対式2面2線,1・2番線,可動式ホーム柵,2008/12/01 00:00,,,
8,札幌市交通局,東西線,西11丁目,北海道札幌市中央区,島式1面2線,1・2番線,可動式ホーム柵,2008/12/01 00:00,,,
9,札幌市交通局,東西線,大通,北海道札幌市中央区,島式1面2線,3・4番線,可動式ホーム柵,2008/12/01 00:00,○,札幌市南北線ホーム（1・2番線）はH24.10に設置、札幌市東豊線ホーム（1・2番線）はH28.12に設置,
10,札幌市交通局,東西線,バスセンター前,北海道札幌市中央区,島式1面2線,1・2番線,可動式ホーム柵,2008/12/01 00:00,,,
11,札幌市交通局,東西線,菊水,北海道札幌市白石区,相対式2面2線,1・2番線,可動式ホーム柵,2008/11/01 00:00,,,
12,札幌市交通局,東西線,東札幌,北海道札幌市白石区,相対式2面2線,1・2番線,可動式ホーム柵,2008/11/01 00:00,,,
13,札幌市交通局,東西線,白石,北海道札幌市白石区,島式1面2線,1・2番線,可動式ホーム柵,2008/11/01 00:00,,,
14,札幌市交通局,東西線,南郷7丁目,北海道札幌市白石区,単式1面1線・島式1面2線,1・2・4番線,可動式ホーム柵,2008/05/01 00:00,,1・2番線への設置はH20.11、3番線はホームなし、3番線では乗降対応を実施しないため、固定柵を設置,
15,札幌市交通局,東西線,南郷13丁目,北海道札幌市白石区,相対式2面2線,1・2番線,可動式ホーム柵,2008/10/01 00:00,,,
16,札幌市交通局,東西線,南郷18丁目,北海道札幌市白石区,相対式2面2線,1・2番線,可動式ホーム柵,2008/10/01 00:00,,,
17,札幌市交通局,東西線,大谷地,北海道札幌市厚別区,相対式2面2線,1・2番線,可動式ホーム柵,2008/10/01 00:00,,,
18,札幌市交通局,東西線,ひばりが丘,北海道札幌市厚別区,相対式2面2線,1・2番線,可動式ホーム柵,2008/09/01 00:00,,,
19,札幌市交通局,東西線,新さっぽろ,北海道札幌市厚別区,島式1面2線,1・2番線,可動式ホーム柵,2008/09/01 00:00,,1番線は降車ホーム（一部を除く）・2番線は乗車ホーム,
20,札幌市交通局,南北線,麻生,北海道札幌市北区,島式1面2線,1・2番線,可動式ホーム柵,2012/07/01 00:00,,,◎全駅
21,札幌市交通局,南北線,北34条,北海道札幌市北区,相対式2面2線,1・2番線,可動式ホーム柵,2012/07/01 00:00,,,
22,札幌市交通局,南北線,北24条,北海道札幌市北区,島式1面2線,1・2番線,可動式ホーム柵,2012/08/01 00:00,,,
23,札幌市交通局,南北線,北18条,北海道札幌市北区,相対式2面2線,1・2番線,可動式ホーム柵,2012/08/01 00:00,,,
24,札幌市交通局,南北線,北12条,北海道札幌市北区,相対式2面2線,1・2番線,可動式ホーム柵,2012/09/01 00:00,,,
25,札幌市交通局,南北線,さっぽろ,北海道札幌市中央区,島式1面2線,1・2番線,可動式ホーム柵,2012/09/01 00:00,○,乗降人員は、2線（南北線・東豊線）の合計,
,札幌市交通局,南北線,大通,北海道札幌市中央区,相対式2面2線,1・2番線,可動式ホーム柵,2012/10/01 00:00,○,（参照）【札幌市東西線】,
26,札幌市交通局,南北線,すすきの,北海道札幌市中央区,相対式2面2線,1・2番線,可動式ホーム柵,2012/10/01 00:00,,,
27,札幌市交通局,南北線,中島公園,北海道札幌市中央区,相対式2面2線,1・2番線,可動式ホーム柵,2012/11/01 00:00,,,
28,札幌市交通局,南北線,幌平橋,北海道札幌市中央区,相対式2面2線,1・2番線,可動式ホーム柵,2012/11/01 00:00,,,
29,札幌市交通局,南北線,中の島,北海道札幌市豊平区,相対式2面2線,1・2番線,可動式ホーム柵,2012/12/01 00:00,,,
30,札幌市交通局,南北線,平岸,北海道札幌市豊平区,相対式2面2線,1・2番線,可動式ホーム柵,2012/12/01 00:00,,,
31,札幌市交通局,南北線,南平岸,北海道札幌市豊平区,島式1面2線,1・2番線,可動式ホーム柵,2013/01/01 00:00,,,
32,札幌市交通局,南北線,澄川,北海道札幌市南区,島式1面2線,1・2番線,可動式ホーム柵,2013/02/01 00:00,,,
33,札幌市交通局,南北線,自衛隊前,北海道札幌市南区,相対式2面2線,1・2番線,可動式ホーム柵,2013/02/01 00:00,,,
34,札幌市交通局,南北線,真駒内,北海道札幌市南区,島式1面2線,1・2番線,可動式ホーム柵,2013/03/01 00:00,,,
35,札幌市交通局,東豊線,栄町,北海道札幌市東区,島式1面2線,1・2番線,可動式ホーム柵,2016/08/01 00:00,,,◎全駅
36,札幌市交通局,東豊線,新道東,北海道札幌市東区,相対式2面2線,1・2番線,可動式ホーム柵,2017/03/01 00:00,,,
37,札幌市交通局,東豊線,元町,北海道札幌市東区,島式1面2線,1・2番線,可動式ホーム柵,2017/03/01 00:00,,,
38,札幌市交通局,東豊線,環状通東,北海道札幌市東区,相対式2面2線,1・2番線,可動式ホーム柵,2017/02/01 00:00,,,
39,札幌市交通局,東豊線,東区役所前,北海道札幌市東区,島式1面2線,1・2番線,可動式ホーム柵,2017/02/01 00:00,,,
40,札幌市交通局,東豊線,北13条東,北海道札幌市東区,相対式2面2線,1・2番線,可動式ホーム柵,2017/01/01 00:00,,,
,札幌市交通局,東豊線,さっぽろ,北海道札幌市中央区,島式1面2線,1・2番線,可動式ホーム柵,2016/12/01 00:00,○,（参照）【札幌市南北線】,
,札幌市交通局,東豊線,大通,北海道札幌市中央区,相対式2面2線,1・2番線,可動式ホーム柵,2016/12/01 00:00,○,（参照）【札幌市東西線】,
41,札幌市交通局,東豊線,豊水すすきの,北海道札幌市中央区,島式1面2線,1・2番線,可動式ホーム柵,2016/11/01 00:00,,,
42,札幌市交通局,東豊線,学園前,北海道札幌市豊平区,島式1面2線,1・2番線,可動式ホーム柵,2016/11/01 00:00,,,
43,札幌市交通局,東豊線,豊平公園,北海道札幌市豊平区,島式1面2線,1・2番線,可動式ホーム柵,2016/10/01 00:00,,,
44,札幌市交通局,東豊線,美園,北海道札幌市豊平区,島式1面2線,1・2番線,可動式ホーム柵,2016/10/01 00:00,,,
45,札幌市交通局,東豊線,月寒中央,北海道札幌市豊平区,島式1面2線,1・2番線,可動式ホーム柵,2016/09/01 00:00,,,
46,札幌市交通局,東豊線,福住,北海道札幌市豊平区,島式1面2線,1・2番線,可動式ホーム柵,2016/09/01 00:00,,,
1,仙台市交通局,南北線,富沢,宮城県仙台市太白区,島式1面2線,1・2番線,可動式ホーム柵,2009/10/01 00:00,,1番線は降車ホーム・2番線は乗車ホーム,◎全駅
2,仙台市交通局,南北線,長町南,宮城県仙台市太白区,島式1面2線,1・2番線,可動式ホーム柵,2009/10/01 00:00,,,
3,仙台市交通局,南北線,長町,宮城県仙台市太白区,島式1面2線,1・2番線,可動式ホーム柵,2009/10/01 00:00,,,
4,仙台市交通局,南北線,長町一丁目,宮城県仙台市太白区,島式1面2線,1・2番線,可動式ホーム柵,2009/11/01 00:00,,,
5,仙台市交通局,南北線,河原町,宮城県仙台市若林区,島式1面2線,1・2番線,可動式ホーム柵,2009/11/01 00:00,,,
6,仙台市交通局,南北線,愛宕橋,宮城県仙台市若林区,島式1面2線,1・2番線,可動式ホーム柵,2009/11/01 00:00,,,
7,仙台市交通局,南北線,五橋,宮城県仙台市若林区,島式1面2線,1・2番線,可動式ホーム柵,2009/11/01 00:00,,,
8,仙台市交通局,南北線,仙台,宮城県仙台市青葉区,島式2面4線,1・2番線,可動式ホーム柵,2009/12/01 00:00,○,仙台市東西線ホーム側（3・4番線）はH27.12に設置,
9,仙台市交通局,南北線,広瀬通,宮城県仙台市青葉区,島式1面2線,1・2番線,可動式ホーム柵,2009/12/01 00:00,,,
10,仙台市交通局,南北線,勾当台公園,宮城県仙台市青葉区,島式1面2線,1・2番線,可動式ホーム柵,2009/12/01 00:00,,,
11,仙台市交通局,南北線,北四番丁,宮城県仙台市青葉区,島式1面2線,1・2番線,可動式ホーム柵,2009/12/01 00:00,,,
12,仙台市交通局,南北線,北仙台,宮城県仙台市青葉区,島式1面2線,1・2番線,可動式ホーム柵,2010/01/01 00:00,,,
13,仙台市交通局,南北線,台原,宮城県仙台市青葉区,島式1面2線,1・2番線,可動式ホーム柵,2010/01/01 00:00,,,
14,仙台市交通局,南北線,旭ヶ丘,宮城県仙台市青葉区,島式1面2線,1・2番線,可動式ホーム柵,2010/01/01 00:00,,,
15,仙台市交通局,南北線,黒松,宮城県仙台市泉区,島式1面2線,1・2番線,可動式ホーム柵,2010/02/01 00:00,,,
16,仙台市交通局,南北線,八乙女,宮城県仙台市泉区,島式1面2線,1・2番線,可動式ホーム柵,2010/02/01 00:00,,,
17,仙台市交通局,南北線,泉中央,宮城県仙台市泉区,島式1面2線,1・2番線,可動式ホーム柵,2010/02/01 00:00,,,
18,仙台市交通局,東西線,八木山動物公園,宮城県仙台市太白区,島式1面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,,,◎全駅
19,仙台市交通局,東西線,青葉山,宮城県仙台市青葉区,島式1面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,,,
20,仙台市交通局,東西線,川内,宮城県仙台市青葉区,島式1面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,,,
21,仙台市交通局,東西線,国際センター,宮城県仙台市青葉区,島式1面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,,,
22,仙台市交通局,東西線,大町西公園,宮城県仙台市青葉区,島式1面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,,,
23,仙台市交通局,東西線,青葉通一番町,宮城県仙台市青葉区,島式1面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,,,
,仙台市交通局,東西線,仙台,宮城県仙台市青葉区,島式2面4線,3・4番線,可動式ホーム柵,2015/12/01 00:00,○,（参照）【仙台市南北線】,
24,仙台市交通局,東西線,宮城野通,宮城県仙台市宮城野区,島式1面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,,,
25,仙台市交通局,東西線,連坊,宮城県仙台市若林区,島式1面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,,,
26,仙台市交通局,東西線,薬師堂,宮城県仙台市若林区,島式1面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,,,
27,仙台市交通局,東西線,卸町,宮城県仙台市若林区,島式1面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,,,
28,仙台市交通局,東西線,六丁の目,宮城県仙台市若林区,島式1面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,,,
29,仙台市交通局,東西線,荒井,宮城県仙台市若林区,島式1面2線,1・2番線,可動式ホーム柵,2015/12/01 00:00,,,
1,東京メトロ,千代田線（支線）,北綾瀬,東京都足立区,単式1面1線,1番線,可動式ホーム柵,2002/02/01 00:00,,,◎全駅
2,東京メトロ,千代田線（支線）,綾瀬,東京都足立区,単式1線・島式2面3線,0・1・2・3・4番線,可動式ホーム柵,2020/03/01 00:00,○,0番線はH14.2に設置,
3,東京メトロ,千代田線,北千住,東京都足立区,島式1面2線,3・4番線,可動式ホーム柵,2019/06/01 00:00,○,,
4,東京メトロ,千代田線,町屋,東京都荒川区,単式二層2面2線,1・2番線,可動式ホーム柵,2020/03/01 00:00,,,
5,東京メトロ,千代田線,西日暮里,東京都荒川区,単式二層2面2線,3・4番線,可動式ホーム柵,2019/08/01 00:00,○,,
6,東京メトロ,千代田線,千駄木,東京都文京区,単式二層2面2線,1・2番線,可動式ホーム柵,2019/03/01 00:00,,,
7,東京メトロ,千代田線,根津,東京都文京区,単式二層2面2線,1・2番線,可動式ホーム柵,2019/11/01 00:00,,,
8,東京メトロ,千代田線,湯島,東京都文京区,島式1面2線,1・2番線,可動式ホーム柵,2019/01/01 00:00,,,
9,東京メトロ,千代田線,新御茶ノ水,東京都文京区,島式1面2線,1・2番線,可動式ホーム柵,2019/07/01 00:00,,,
,東京メトロ,千代田線,大手町,東京都千代田区,島式1面2線,5・6番線,可動式ホーム柵,2019/02/01 00:00,○,（参照）【東京メトロ丸ノ内線】,
10,東京メトロ,千代田線,二重橋前,東京都千代田区,島式1面2線,1・2番線,可動式ホーム柵,2018/11/01 00:00,,,
11,東京メトロ,千代田線,日比谷,東京都千代田区,島式1面2線,3・4番線,可動式ホーム柵,2018/10/01 00:00,○,,
,東京メトロ,千代田線,霞ケ関,東京都千代田区,相対式2面2線,5・6番線,可動式ホーム柵,2020/03/01 00:00,○,（参照）【東京メトロ丸ノ内線】,
,東京メトロ,千代田線,国会議事堂前,東京都千代田区,島式1面2線,3・4番線,可動式ホーム柵,2020/03/01 00:00,,（参照）【東京メトロ丸ノ内線】千代田線3番線はR1.8に設置,
12,東京メトロ,千代田線,赤坂,東京都千代田区,島式1面2線,1・2番線,可動式ホーム柵,2019/04/01 00:00,,,
13,東京メトロ,千代田線,乃木坂,東京都千代田区,島式1面2線,1・2番線,可動式ホーム柵,2020/03/01 00:00,,千代田線2番線はR1.11に設置,
