駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,,当該路線の設置状況
54,JR東日本,京浜東北線,大森,東京都大田区,島式1面2線,1・2番線,可動式ホーム柵,2019/09/01 00:00,○,,
,JR東日本,京浜東北線,神田,東京都千代田区,島式2面4線,1・4番線,可動式ホーム柵,2019/10/01 00:00,○,（参照）【ＪＲ東日本山手線】,
55,JR東日本,京浜東北線,横浜,神奈川県横浜市西区,島式1面2線,3・4番線,可動式ホーム柵,2019/11/01 00:00,○,,
56,JR東日本,京浜東北線,蒲田,東京都大田区,島式2面3線,1・4番線,可動式ホーム柵,2019/11/01 00:00,○,,
57,JR東日本,京浜東北線,北浦和,埼玉県さいたま市,島式1面2線,1・2番線,可動式ホーム柵,2019/12/01 00:00,○,,
,JR東日本,京浜東北線,新橋,東京都港区,島式2面4線,3・6番線,可動式ホーム柵,2019/12/01 00:00,○,（参照）【ＪＲ東日本山手線】,
58,JR東日本,京浜東北線,蕨,埼玉県蕨市,島式1面2線,1・2番線,可動式ホーム柵,2020/02/01 00:00,○,,
59,JR東日本,総武快速線,新小岩,東京都葛飾区,1面2線,3・4番線,可動式ホーム柵,2018/12/01 00:00,○,総武快速線ホーム（3・4番線）以外は未設置,△一部の駅
60,JR東日本,横浜線,町田,東京都町田市,島式2面4線,4番線,可動式ホーム柵,2017/07/01 00:00,○,,△一部の駅
61,JR東日本,八高線,拝島,東京都昭島市,島式1面2線,5番線,昇降式ホーム柵,2015/03/01 00:00,,,△一部の駅
62,JR東日本,成田線,空港第２ビル駅,千葉県成田市,相対式１面１線,1番線,昇降式ホーム柵,2020/03/01 00:00,,,△一部の駅
63,JR東日本,成田線,成田空港駅,千葉県成田市,島式１面２線,1･2番線,昇降式ホーム柵,2020/03/01 00:00,,,
1,JR東海,東海道新幹線,東京,東京都千代田区,島式3面6線,14～19番線,可動式ホーム柵,2013/03/01 00:00,○,,△一部の駅
2,JR東海,東海道新幹線,品川,東京都港区,島式2面4線,21・23・24番線,可動式ホーム柵,2003/10/01 00:00,,23番線はH29.9に供用開始、22番線は未設置（固定柵設置）,
3,JR東海,東海道新幹線,新横浜,神奈川県横浜市港北区,島式2面4線,1・2・3・4番線,可動式ホーム柵,1985/01/01 00:00,,1番線はH30.3、4番線はH28.3に供用開始,
4,JR東海,東海道新幹線,熱海,静岡県熱海市,相対式2面2線,6・7番線,可動式ホーム柵,1974/01/01 00:00,,,
5,JR東海,東海道新幹線,名古屋,愛知県愛知県名古屋市中村区,島式2面4線,14～17番線,可動式ホーム柵,2014/03/01 00:00,○,,
6,JR東海,東海道新幹線,京都,京都府京都市下京区,島式2面4線,11～14番線,可動式ホーム柵,2015/01/01 00:00,,,
