駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,,当該路線の設置状況
61,JR東日本,八高線,拝島,東京都昭島市,島式1面2線,5番線,昇降式ホーム柵,H27.3,,,△一部の駅
62,JR東日本,成田線,空港第２ビル駅,千葉県成田市,相対式１面１線,1番線,昇降式ホーム柵,R2.3,,,△一部の駅
63,JR東日本,成田線,成田空港駅,千葉県成田市,島式１面２線,1･2番線,昇降式ホーム柵,R2.3,,,
1,JR東海,東海道新幹線,東京,東京都千代田区,島式3面6線,14～19番線,可動式ホーム柵,H25.3,○,,△一部の駅
2,JR東海,東海道新幹線,品川,東京都港区,島式2面4線,21・23・24番線,可動式ホーム柵,H15.10,,23番線はH29.9に供用開始、22番線は未設置（固定柵設置）,
3,JR東海,東海道新幹線,新横浜,神奈川県横浜市港北区,島式2面4線,1・2・3・4番線,可動式ホーム柵,S60.1,,1番線はH30.3、4番線はH28.3に供用開始,
4,JR東海,東海道新幹線,熱海,静岡県熱海市,相対式2面2線,6・7番線,可動式ホーム柵,S49.1,,,
5,JR東海,東海道新幹線,名古屋,愛知県愛知県名古屋市中村区,島式2面4線,14～17番線,可動式ホーム柵,H26.3,○,,
6,JR東海,東海道新幹線,京都,京都府京都市下京区,島式2面4線,11～14番線,可動式ホーム柵,H27.1,,,
7,JR東海,東海道新幹線,新大阪,大阪府大阪市淀川区,単式2面2線・島式3面6線,26・27番線,可動式ホーム柵,H25.3,○,20～25番線は未設置（固定柵設置）,
1,JR西日本,北陸新幹線,糸魚川,新潟県糸魚川市,相対式2面2線,11・12番線,可動式ホーム柵,H27.3,,在来線ホームは未設置,◎全駅
2,JR西日本,北陸新幹線,黒部宇奈月温泉,富山県黒部市,相対式2面2線,1・2番線,可動式ホーム柵,H27.3,,,
3,JR西日本,北陸新幹線,富山,富山県富山市,島式2面4線,11・12・13・14番線,可動式ホーム柵,H27.3,,在来線ホームは未設置,
4,JR西日本,北陸新幹線,新高岡,富山県高岡市,相対式2面2線,1・2番線,可動式ホーム柵,H27.3,,在来線ホームは未設置,
5,JR西日本,北陸新幹線,金沢,石川県金沢市,島式2面4線,11・12・13・14番線,可動式ホーム柵,H27.3,,在来線ホームは未設置,
6,JR西日本,山陽新幹線,新神戸,兵庫県神戸市中央区,相対式2面2線,1・2番線,可動式ホーム柵,S52.12,,,△一部の駅
7,JR西日本,山陽新幹線,岡山,岡山県岡山市,島式2面4線,22番線,可動式ホーム柵,R1.12,○,21・23・24番線は未設置、在来線ホームは未設置,
8,JR西日本,ＪＲ東西線,北新地,大阪府大阪市,島式1面2線,1・2番線,可動式ホーム柵,H23.3,○,,△一部の駅
9,JR西日本,ＪＲ東西線,大阪天満宮,大阪府大阪市,島式1面2線,1・2番線,可動式ホーム柵,H24.3,,,
10,JR西日本,ＪＲ東西線,京橋,大阪府大阪市,相対式4面4線,1･2・3・4番線,可動式ホーム柵,H28.3,○,3番線はR1.10設置、4番線はR2.3設置,
11,JR西日本,東海道本線,六甲道,兵庫県神戸市,島式2面4線,3番線,昇降式ホーム柵,H27.4,,1･2･4番線は未設置,△一部の駅
12,JR西日本,東海道本線,高槻,大阪府高槻市,島式2面4線、相対式2面2線,1・2･5･6番線,昇降式ホーム柵,H28.3,○,"2･5番線はH31.3可動式を設置3･4番線は未設置",
13,JR西日本,東海道本線,大阪,大阪府大阪市,島式5面10線、相対式1面1線,1・2・5･6・7･8番線,可動式ホーム柵,H29.5,○,"5･8番線はH31.3昇降式を設置1番線はR1.12可動式を設置2番線はR2.3可動式を設置3･4･9・10･11番線は未設置",
14,JR西日本,東海道本線,ＪＲ総持寺,大阪府茨木市,島式2面2線,1・2番線,可動式ホーム柵,H30.3,,,
15,JR西日本,東海道本線,三ノ宮,兵庫県神戸市,島式2面4線,2・3番線,昇降式ホーム柵,R1.11,○,1・4番線は未設置,
16,JR西日本,山陽本線,明石,兵庫県明石市,島式2面4線,3・4番線,昇降式ホーム柵,R2.3,○,1・2番線は未設置,△一部の駅
17,JR西日本,山陰本線,梅小路京都西,京都府京都市,相対式2面2線,1・2番線,可動式ホーム柵,H31.3,,,
1,JR九州,九州新幹線,新鳥栖,佐賀県鳥栖市,島式2面4線,11・12・13・14番線,可動式ホーム柵,H23.3,,在来線ホーム（1・2番線）は未設置,△一部の駅
2,JR九州,九州新幹線,久留米,福岡県久留米市,相対式2面2線,11・12番線,可動式ホーム柵,H23.3,,在来線ホーム（1・2・3・4・5番線）は未設置,
3,JR九州,九州新幹線,筑後船小屋,福岡県筑後市,単式1面1線・島式1面2線,11・12・13番線,可動式ホーム柵,H23.3,,在来線ホーム（1・2番線）は未設置,
4,JR九州,九州新幹線,新大牟田,福岡県大牟田市,相対式2面2線,11・12番線,可動式ホーム柵,H23.3,,,
5,JR九州,九州新幹線,新玉名,熊本県玉名市,相対式2面2線,11・12番線,可動式ホーム柵,H23.3,,,
6,JR九州,九州新幹線,熊本,熊本県熊本市西区,島式2面4線,11・12・13・14番線,可動式ホーム柵,H23.3,,在来線ホーム（1・2・3･4・5・6番線）は未設置,
7,JR九州,九州新幹線,新八代,熊本県八代市,相対式2面2線,11・12番線,可動式ホーム柵,H16.3,,在来線ホーム（1・2番線）は未設置,
8,JR九州,九州新幹線,新水俣,熊本県水俣市,島式1面2線・単式1面1線,11・12・13番線,可動式ホーム柵,H16.3,,,
9,JR九州,九州新幹線,出水,鹿児島県出水市,相対式2面2線,11・12番線,可動式ホーム柵,H16.3,,,
10,JR九州,九州新幹線,川内,鹿児島県薩摩川内市,相対式2面2線,11・12番線,可動式ホーム柵,H16.3,,在来線ホーム（1・2番線）は未設置,
11,JR九州,九州新幹線,鹿児島中央,鹿児島県鹿児島市,島式2面4線,11・12・13・14番線,可動式ホーム柵,H16.3,,在来線ホーム（1・2・3・4・5・6番線）は未設置,
12,JR九州,筑肥線,九大学研都市駅,福岡県福岡市西区,島式１面２線,1番線・２番線,可動式ﾎｰﾑ柵,H30.9,,下りはH29.11に設置,△一部の駅
1,東武鉄道,東上線,池袋,東京都豊島区,頭端式3面3線,1・2・3・4番線,可動式ホーム柵,H30.4,○,"2・3番線はH31.3に設置、4番線はR1.12に設置5番線はR2.1に固定柵設置",△一部の駅
2,東武鉄道,東上線,和光市,埼玉県和光市,島式2面4線,1・2・3・4番線,可動式ホーム柵,H24.7,○,2・3番線は東京メトロと供用、1・4番線はH28.3に設置,
3,東武鉄道,東上線,朝霞,埼玉県朝霞市,島式2面4線,1・2・3・4番線,可動式ホーム柵,H31.3,,1・2番線はＲ2.3に設置,
4,東武鉄道,東上線,志木,埼玉県新座市,島式2面4線,3・4番線,可動式ホーム柵,R2.2,○,"3番線はR2.3に設置1・2番線はR2年度設置予定",
5,東武鉄道,東上線,川越,埼玉県川越市,相対式2面2線,1・2番線,可動式ホーム柵,H30.3,○,,
6,東武鉄道,野田線,船橋,千葉県船橋市,島式1面2線,1・2番線,可動式ホーム柵,H26.3,○,,△一部の駅
7,東武鉄道,野田線,柏,千葉県柏市,頭端式2面4線,1・2・3・4番線,可動式ホーム柵,H27.2,○,3・4番線はH27.3に設置,
1,西武鉄道,池袋線,池袋,東京都豊島区,島式4面7線,2～6番線,可動式ホーム柵,H28.3,○,1・7番線は未設置,△一部の駅
2,西武鉄道,池袋線,練馬,東京都練馬区,島式2面4線,1～4番線,可動式ホーム柵,R2.2,○,,
3,西武鉄道,新宿線,西武新宿,東京都新宿区,くし形2面3線,2番線,可動式ホーム柵,R2.3,○,1・3番線は未設置,△一部の駅
1,京成電鉄,本線,日暮里,東京都荒川区,"３面２線（下り線：2面1線）（上り線：1面1線）",1・2番線（下り線）,可動式ホーム柵,H30.2,○,0番線（上り線）はH30.12に設置,△一部の駅
3,京成電鉄,本線,空港第２ビル駅,千葉県成田市,相対式２面４線,1～4番線,可動式ホーム柵,H31.3,,,
1,京王電鉄,京王線,国領,東京都調布市,島式1面2線,1・2番線,可動式ホーム柵,H24.8,,,△一部の駅
2,京王電鉄,京王線,布田,東京都調布市,島式1面2線,1・2番線,ホームドア,H24.8,,,
3,京王電鉄,京王線,調布,東京都調布市,島式二層2面4線,1・2・3・4番線,可動式ホーム柵,H24.9,○,京王相模原線と共用、上下線別の二層構造,
4,京王電鉄,"京王線",新宿,東京都新宿区,"くし型3面3線","1・2・3番線",可動式ホーム柵,"H25.3",○,"1番線はH25.10、2番線はH26.3に供用開始",
4,京王電鉄,"京王新線",新宿,東京都新宿区,"島式1面2線","4・5番線",可動式ホーム柵,"H30.11",○,"4番線はH30.11、5番線はH31.2に供用開始",
5,京王電鉄,京王線,飛田給,東京都調布市,相対・島式2面3線,2・3番線,可動式ホーム柵,H31.3,,3番線はR1.8、1番線はR2.5供用開始,
6,京王電鉄,井の頭線,吉祥寺,東京都武蔵野市,相対式2面2線,1・2番線,可動式ホーム柵,H27.12,○,,△一部の駅
7,京王電鉄,井の頭線,渋谷,東京都渋谷区,くし型2面2線,1・2番線,可動式ホーム柵,H30.12,○,,
1,小田急電鉄,小田原線,新宿,東京都新宿区,くし形7面5線,地上4・5番線のみ,可動式ホーム柵,H24.9,○,,△一部の駅
2,小田急電鉄,小田原線,代々木八幡,東京都渋谷区,島式1面2線,1・2番線,可動式ホーム柵,H31.3,,,
3,小田急電鉄,小田原線,代々木上原,東京都渋谷区,島式2面4線,1・4番線,可動式ホーム柵,R2.3,○,,
4,小田急電鉄,小田原線,東北沢,東京都世田谷区,島式1面2線,1・2番線,可動式ホーム柵,R1.6,,,
5,小田急電鉄,小田原線,下北沢,東京都世田谷区,島式1面2線2層,3・4番線（地下1階）,可動式ホーム柵,H31.3,○,,
6,小田急電鉄,小田原線,世田谷代田,東京都世田谷区,島式1面2線,1・2番線,可動式ホーム柵,H31.9,,,
7,小田急電鉄,小田原線,梅ヶ丘,東京都世田谷区,相対式2面2線,1・2番線,可動式ホーム柵,H31.12,,,
1,東急電鉄,目黒線,目黒,東京都品川区,島式1面2線,1・2番線,可動式ホーム柵,H12.8,○,東京メトロ南北線、都営三田線と共用,◎全駅
2,東急電鉄,目黒線,不動前,東京都品川区,相対式2面2線,1・2番線,可動式ホーム柵,H14.9,,,
3,東急電鉄,目黒線,武蔵小山,東京都品川区,島式2面4線,1・2・3・4番線,可動式ホーム柵,H13.6,,,
4,東急電鉄,目黒線,西小山,東京都品川区,島式1面2線,1・2番線,可動式ホーム柵,H13.7,,,
5,東急電鉄,目黒線,洗足,東京都目黒区,相対式2面2線,1・2番線,可動式ホーム柵,H12.8,,,
6,東急電鉄,目黒線,大岡山,東京都大田区,島式2面4線,1・4番線のみ,可動式ホーム柵,H12.8,,,
7,東急電鉄,目黒線,奥沢,東京都世田谷区,単式1面1線・島式1面2線,1・2・3番線,可動式ホーム柵,H12.8,,,
8,東急電鉄,目黒線,田園調布,東京都大田区,島式2面4線,2・3番線のみ,可動式ホーム柵,H12.8,,,
9,東急電鉄,目黒線,多摩川,東京都大田区,島式2面4線,2・3番線のみ,可動式ホーム柵,H12.8,,,
10,東急電鉄,目黒線,新丸子,神奈川県川崎市中原区,島式2面4線,2・3番線のみ,可動式ホーム柵,H12.8,,,
11,東急電鉄,目黒線,武蔵小杉,神奈川県川崎市中原区,島式2面4線,2・3番線,可動式ホーム柵,H12.8,○,,
12,東急電鉄,目黒線,元住吉,神奈川県川崎市中原区,島式2面6線,3・4番線,可動式ホーム柵,H20.6,,,
13,東急電鉄,目黒線,日吉,神奈川県横浜市港北区,島式2面4線,2・3番線のみ,可動式ホーム柵,H20.6,○,,
14,東急電鉄,大井町線,大井町,東京都品川区,島式1面2線,1・2番線,可動式ホーム柵,H24.3,○,,◎全駅
15,東急電鉄,大井町線,溝の口,神奈川県川崎市,島式2面4線,2・3番線,可動式ホーム柵,H28.4,○,,
16,東急電鉄,大井町線,緑が丘,東京都目黒区,相対式2面2線,1・2番線,可動式ホーム柵,H28.11,,,
17,東急電鉄,大井町線,尾山台,東京都世田谷区,相対式2面2線,1・2番線,可動式ホーム柵,H28.12,,,
18,東急電鉄,大井町線,中延,東京都品川区,相対式2面2線,1・2番線,可動式ホーム柵,H29.3,,,
19,東急電鉄,大井町線,上野毛,東京都世田谷区,島式1面3線,1・2番線,可動式ホーム柵,H29.4,,3番線ホームなし（通過線）,
20,東急電鉄,大井町線,荏原町,東京都品川区,相対式2面2線,1・2番線,可動式ホーム柵,H30.3,,,
21,東急電鉄,大井町線,九品仏,東京都世田谷区,島式1面2線,1・2番線,可動式ホーム柵,H30.9,,,
,東急電鉄,大井町線,二子玉川,東京都世田谷区,島式2面4線,2・3番線,可動式ホーム柵,H31.3,○,（参照）【東急田園都市線】,
,東急電鉄,大井町線,自由が丘,東京都目黒区,相対式2面2線,1・2番線,可動式ホーム柵,H31.3,○,（参照）【東急東横線】,
,東急電鉄,大井町線,大岡山,東京都大田区,島式2面4線,2・3番線,可動式ホーム柵,H31.4,,（参照）【東急目黒線】,
22,東急電鉄,大井町線,旗の台,東京都品川区,島式2面4線,3･4･5･6番線,可動式ホーム柵,H31.3,,1・2番線は未設置,
23,東急電鉄,大井町線,北千束,東京都大田区,島式1面2線,1・2番線,可動式ホーム柵,R1.10,,,
24,東急電鉄,大井町線,下神明,東京都品川区,相対式2面2線,1・2番線,可動式ホーム柵,R1.12,,,
25,東急電鉄,大井町線,戸越公園,東京都品川区,相対式2面2線,1・2番線,可動式ホーム柵,R2.3,,,
26,東急電鉄,大井町線,等々力,東京都世田谷区,島式1面2線,1・2番線,可動式ホーム柵,R2.3,,,
27,東急電鉄,東横線,渋谷,東京都渋谷区,島式2面4線,3・4・5･6番線,可動式ホーム柵,H20.6,○,東京メトロ副都心線と共用,◎全駅
28,東急電鉄,東横線,中目黒,東京都目黒区,島式2面4線,1・4番線,可動式ホーム柵,H25.12,○,2・3番線は東京メトロ日比谷線,
29,東急電鉄,東横線,学芸大学,東京都目黒区,島式1面2線,1・2番線,可動式ホーム柵,H26.3,,,
30,東急電鉄,東横線,代官山,東京都渋谷区,相対式2面2線,1・2番線,可動式ホーム柵,H27.2,,,
,東急電鉄,東横線,武蔵小杉,神奈川県川崎市,島式2面4線,1・4番線,可動式ホーム柵,H27.3,○,（参照）【東急目黒線】,
31,東急電鉄,東横線,横浜,神奈川県横浜市,島式1面2線,1・2番線,可動式ホーム柵,H27.3,○,横浜高速鉄道みなとみらい線と共用,
,東急電鉄,東横線,新丸子,川崎市中原区,島式2面4線,1・4番線,可動式ホーム柵,H27.12,,（参照）【東急目黒線】,
,東急電鉄,東横線,元住吉,神奈川県川崎市,島式2面6線,2・5番線,可動式ホーム柵,H28.2,,（参照）【東急目黒線】,
32,東急電鉄,東横線,菊名,神奈川県横浜市,島式2面4線,3・4・5・6番線,可動式ホーム柵,H28.3,○,,
33,東急電鉄,東横線,大倉山,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,H28.5,,,
34,東急電鉄,東横線,都立大学,東京都目黒区,相対式2面2線,1・2番線,可動式ホーム柵,H28.6,,,
35,東急電鉄,東横線,反町,神奈川県横浜市,島式1面2線,1・2番線,可動式ホーム柵,H28.11,,,
,東急電鉄,東横線,田園調布,東京都大田区,島式2面4線,1・4番線,可動式ホーム柵,H28.12,,（参照）【東急目黒線】,
,東急電鉄,東横線,日吉,神奈川県横浜市,島式2面4線,1・4番線,可動式ホーム柵,H29.2,○,（参照）【東急目黒線】,
36,東急電鉄,東横線,祐天寺,東京都目黒区,相対式2面3線,1・3番線,可動式ホーム柵,H29.6,,2番線ホームなし（通過線）,
37,東急電鉄,東横線,綱島,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,H30.3,○,,
38,東急電鉄,東横線,自由が丘,東京都目黒区,島式2面4線,3・4・5・6番線,可動式ホーム柵,H30.3,○,,
39,東急電鉄,東横線,妙蓮寺,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,H30.3,,,
40,東急電鉄,東横線,東白楽,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,R1.6,,,
,東急電鉄,東横線,多摩川,東京都大田区,島式2面4線,1・4番線,可動式ホーム柵,R1.10,,（参照）【東急目黒線】,
41,東急電鉄,東横線,白楽,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,R2.2,,,
42,東急電鉄,田園都市線,宮前平,神奈川県川崎市,相対式2面2線,1・2番線,可動式ホーム柵,H27.12,,,◎全駅
43,東急電鉄,田園都市線,駒沢大学,東京都世田谷区,島式1面2線,1・2番線,可動式ホーム柵,H29.10,,,
,東急電鉄,田園都市線,溝の口,神奈川県川崎市,島式2面4線,1・4番線,可動式ホーム柵,H29.12,○,（参照）【東急大井町線】,
44,東急電鉄,田園都市線,三軒茶屋,東京都世田谷区,相対式2面2線,1・2番線,可動式ホーム柵,H29.12,○,,
45,東急電鉄,田園都市線,市が尾,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,H29.12,,,
46,東急電鉄,田園都市線,二子玉川,東京都世田谷区,島式2面4線,1・4番線,可動式ホーム柵,H30.2,○,東急大井町線ホーム側（2・3番線）はH31.3に設置,
47,東急電鉄,田園都市線,用賀,東京都世田谷区,相対式2面2線,1・2番線,可動式ホーム柵,H30.3,,,
