,駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,Unnamed: 10,当該路線の設置状況,path
189,43.0,東急電鉄,田園都市線,駒沢大学,東京都世田谷区,島式1面2線,1・2番線,可動式ホーム柵,2017/10/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
190,,東急電鉄,田園都市線,溝の口,神奈川県川崎市,島式2面4線,1・4番線,可動式ホーム柵,2017/12/01 00:00,○,（参照）【東急大井町線】,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
191,44.0,東急電鉄,田園都市線,三軒茶屋,東京都世田谷区,相対式2面2線,1・2番線,可動式ホーム柵,2017/12/01 00:00,○,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
192,45.0,東急電鉄,田園都市線,市が尾,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2017/12/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
193,46.0,東急電鉄,田園都市線,二子玉川,東京都世田谷区,島式2面4線,1・4番線,可動式ホーム柵,2018/02/01 00:00,○,東急大井町線ホーム側（2・3番線）はH31.3に設置,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
194,47.0,東急電鉄,田園都市線,用賀,東京都世田谷区,相対式2面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
195,48.0,東急電鉄,田園都市線,江田,神奈川県横浜市,島式2面4線,2・4番線,可動式ホーム柵,2018/03/01 00:00,,1・3番線は通過線（固定柵あり）,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
196,49.0,東急電鉄,田園都市線,桜新町,東京都世田谷区,相対式2層2面4線,1・2番線,可動式ホーム柵,2018/06/01 00:00,,3・4番線ホームなし（通過線）,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
197,50.0,東急電鉄,田園都市線,池尻大橋,東京都世田谷区,相対式2面2線,1・2番線,可動式ホーム柵,2018/07/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
198,51.0,東急電鉄,田園都市線,あざみ野,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2018/09/01 00:00,○,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
199,52.0,東急電鉄,田園都市線,たまプラーザ,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2018/09/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
200,53.0,東急電鉄,田園都市線,つきみ野,神奈川県大和市,相対式2面2線,1・2番線,可動式ホーム柵,2018/12/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
201,54.0,東急電鉄,田園都市線,高津,神奈川県川崎市,相対式2面4線,1・4番線,可動式ホーム柵,2018/12/01 00:00,,2・3番線ホームなし（通過線）,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
202,55.0,東急電鉄,田園都市線,梶が谷,神奈川県川崎市,島式2面4線,1・2・3番線,可動式ホーム柵,2019/03/01 00:00,,4番線は通過線（固定柵あり）,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
203,56.0,東急電鉄,田園都市線,長津田,神奈川県横浜市,島式2面4線,3・4・5・6番線,可動式ホーム柵,2019/03/01 00:00,○,3・4番線はH30.12に設置、5・6番線はH31.3に設置、7番線（こどもの国線）は未設置,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
204,,東急電鉄,田園都市線,渋谷,東京都渋谷区,島式1面2線,1・2番線,可動式ホーム柵,2019/03/01 00:00,○,東京メトロ半蔵門線と共用（参照）【東急東横線】,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
205,57.0,東急電鉄,田園都市線,藤が丘,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2019/05/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
206,58.0,東急電鉄,田園都市線,田奈,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2019/05/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
207,59.0,東急電鉄,田園都市線,二子新地,神奈川県川崎市,相対式2面2線,1・2番線,可動式ホーム柵,2019/06/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
208,60.0,東急電鉄,田園都市線,青葉台,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2019/08/01 00:00,○,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
209,61.0,東急電鉄,田園都市線,南町田グランベリーパーク,東京都町田市,相対式2面2線,1・2番線,可動式ホーム柵,2019/09/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
210,62.0,東急電鉄,田園都市線,宮崎台,神奈川県川崎市,相対式2面2線,1・2番線,可動式ホーム柵,2019/09/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
211,63.0,東急電鉄,田園都市線,つくし野,東京都町田市,相対式2面2線,1・2番線,可動式ホーム柵,2019/09/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
212,64.0,東急電鉄,田園都市線,すずかけ台,東京都町田市,相対式2面2線,1・2番線,可動式ホーム柵,2019/12/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
213,65.0,東急電鉄,田園都市線,中央林間,神奈川県大和市,島式1面2線,1・2番線,可動式ホーム柵,2019/12/01 00:00,○,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
214,66.0,東急電鉄,田園都市線,鷺沼,神奈川県川崎市,島式2面4線,1・2・3・4番線,可動式ホーム柵,2020/02/01 00:00,,,,/home/zaiying/A-Pastani/data/東急電鉄/東急電鉄東急田園都市線_addRailname.geojson
215,1.0,京急電鉄,空港線,羽田空港第3ターミナル,東京都大田区,相対式2面2線,1・2番線,可動式ホーム柵,2010/10/01 00:00,,,△一部の駅,/home/zaiying/A-Pastani/data/京浜急行電鉄/京浜急行電鉄京急空港線_addRailname.geojson
216,2.0,京急電鉄,空港線,羽田空港第１・第２ターミナル,東京都大田区,島式１面2線,1・2番線,可動式ホーム柵,Ｈ31.2,,,,/home/zaiying/A-Pastani/data/京浜急行電鉄/京浜急行電鉄京急空港線_addRailname.geojson
217,3.0,京急電鉄,本線・空港線,京急蒲田,東京都大田区,島式2面6線,1・4・3・6番線,可動式ホーム柵,2019/04/01 00:00,,3・6番線はR1.8に設置、2番線、5番線はホーム固定柵を設置,,/home/zaiying/A-Pastani/data/京浜急行電鉄/京浜急行電鉄京急空港線_addRailname.geojson
218,4.0,京急電鉄,本線,横浜,神奈川県横浜市,島式１面2線,1・2番線,可動式ホーム柵,2019/09/01 00:00,○,,,/home/zaiying/A-Pastani/data/京浜急行電鉄/京浜急行電鉄京急本線_addRailname.geojson
219,5.0,京急電鉄,本線,上大岡,神奈川県横浜市,相対式2面4線,1・2・3・4番線,可動式ホーム柵,2019/11/01 00:00,○,3・4番線はR2.2に設置,,/home/zaiying/A-Pastani/data/京浜急行電鉄/京浜急行電鉄京急本線_addRailname.geojson
220,1.0,相模鉄道,本線,横浜,神奈川県横浜市,くし型4面3線,1・2・3番線,可動式ホーム柵,2016/03/01 00:00,○,1・2番線はH29.3に設置,△一部の駅,/home/zaiying/A-Pastani/data/相模鉄道/相模鉄道相鉄本線_addRailname.geojson
221,2.0,相模鉄道,相鉄新横浜線,羽沢横浜国大駅,神奈川県横浜市,相対式2面2線,1・2番線,可動式ホーム柵,2019/11,,,,/home/zaiying/A-Pastani/data/相模鉄道/相模鉄道相鉄新横浜線_addRailname.geojson
222,1.0,名古屋鉄道,小牧線,上飯田,愛知県愛知県名古屋市北区,島式1面2線,1・2番線,可動式ホーム柵,2003/03/01 00:00,,,△一部の駅,/home/zaiying/A-Pastani/data/名古屋鉄道/名古屋鉄道名鉄小牧線_addRailname.geojson
223,2.0,名古屋鉄道,空港線,中部国際空港,愛知県常滑市,単式1面1線・島式1面2線,1番線,ホームドア,2006/04/01 00:00,,2・3番線は未設置,△一部の駅,/home/zaiying/A-Pastani/data/名古屋鉄道/名古屋鉄道名鉄空港線_addRailname.geojson
224,1.0,近畿日本鉄道,南大阪線,大阪阿部野橋,大阪府大阪市阿倍野区,くし形6面5線,3・4番線,昇降式ホーム柵,2018/12/01 00:00,○,4番線はH31.2に設置。1・2・5・6番線は未設置,△一部の駅,/home/zaiying/A-Pastani/data/近畿日本鉄道/近畿日本鉄道近鉄南大阪線_addRailname.geojson
225,1.0,阪急電鉄,宝塚線,十三駅,大阪府大阪市淀川区,島式2面4線、相対式2面2線,3・4・5番線,可動式ホーム柵,2019/02/01 00:00,,3番線はH30.9に設置、1・2・6番線は未設置,△一部の駅,/home/zaiying/A-Pastani/data/阪急電鉄/阪急電鉄阪急宝塚本線_addRailname.geojson
226,1.0,南海電気鉄道,高野線,難波,大阪府大阪市中央区,くし形9面8線,1番線,可動式ホーム柵,2019/03/01 00:00,○,2～8番線は未設置,△一部の駅,/home/zaiying/A-Pastani/data/南海電気鉄道/南海電気鉄道南海高野線_addRailname.geojson
227,1.0,東京臨海高速鉄道,臨海副都心線（りんかい線）,国際展示場,東京都江東区,島式1面2線,1・2番線,可動式ホーム柵,2018/09/01 00:00,,,△一部の駅,/home/zaiying/A-Pastani/data/東京臨海高速鉄道/東京臨海高速鉄道りんかい線_addRailname.geojson
228,2.0,東京臨海高速鉄道,臨海副都心線（りんかい線）,大井町,東京都品川区,単式二層2面2線,1・2番線,可動式ホーム柵,2020/02/01 00:00,,,,/home/zaiying/A-Pastani/data/東京臨海高速鉄道/東京臨海高速鉄道りんかい線_addRailname.geojson
229,,横浜高速鉄道,みなとみらい21線,横浜駅,神奈川県横浜市西区,島式1面2線,1・2番線,可動式ホーム柵,2015/03/01 00:00,○,（参照）【東急東横線】,△一部の駅,/home/zaiying/A-Pastani/data/横浜高速鉄道/横浜高速鉄道みなとみらい21線_addRailname.geojson
230,1.0,横浜高速鉄道,みなとみらい21線,みなとみらい駅,神奈川県横浜市西区,島式1面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,,,,/home/zaiying/A-Pastani/data/横浜高速鉄道/横浜高速鉄道みなとみらい21線_addRailname.geojson
231,2.0,横浜高速鉄道,みなとみらい21線,馬車道駅,神奈川県横浜市西区,島式1面2線,1・2番線,可動式ホーム柵,2019/09/01 00:00,,,,/home/zaiying/A-Pastani/data/横浜高速鉄道/横浜高速鉄道みなとみらい21線_addRailname.geojson
232,3.0,横浜高速鉄道,みなとみらい21線,日本大通り駅,神奈川県横浜市中区,島式1面2線,1・2番線,可動式ホーム柵,2019/03/01 00:00,,,,/home/zaiying/A-Pastani/data/横浜高速鉄道/横浜高速鉄道みなとみらい21線_addRailname.geojson
233,4.0,横浜高速鉄道,みなとみらい21線,元町･中華街駅,神奈川県横浜市中区,島式1面2線,1・2番線,可動式ホーム柵,2020/03/01 00:00,,,,/home/zaiying/A-Pastani/data/横浜高速鉄道/横浜高速鉄道みなとみらい21線_addRailname.geojson
234,,埼玉高速鉄道,埼玉高速鉄道線,赤羽岩淵,東京都北区,島式1面2線,1・2番線,ホームドア,1991/11/01 00:00,○,（参照）【東京メトロ南北線】,◎全駅,/home/zaiying/A-Pastani/data/埼玉高速鉄道/埼玉高速鉄道埼玉高速鉄道線_addRailname.geojson
235,1.0,埼玉高速鉄道,埼玉高速鉄道線,川口元郷,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2001/03/01 00:00,,,,/home/zaiying/A-Pastani/data/埼玉高速鉄道/埼玉高速鉄道埼玉高速鉄道線_addRailname.geojson
236,2.0,埼玉高速鉄道,埼玉高速鉄道線,南鳩ヶ谷,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2001/03/01 00:00,,,,/home/zaiying/A-Pastani/data/埼玉高速鉄道/埼玉高速鉄道埼玉高速鉄道線_addRailname.geojson
237,3.0,埼玉高速鉄道,埼玉高速鉄道線,鳩ヶ谷,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2001/03/01 00:00,,,,/home/zaiying/A-Pastani/data/埼玉高速鉄道/埼玉高速鉄道埼玉高速鉄道線_addRailname.geojson
238,4.0,埼玉高速鉄道,埼玉高速鉄道線,新井宿,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2001/03/01 00:00,,,,/home/zaiying/A-Pastani/data/埼玉高速鉄道/埼玉高速鉄道埼玉高速鉄道線_addRailname.geojson
239,5.0,埼玉高速鉄道,埼玉高速鉄道線,戸塚安行,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2001/03/01 00:00,,,,/home/zaiying/A-Pastani/data/埼玉高速鉄道/埼玉高速鉄道埼玉高速鉄道線_addRailname.geojson
240,6.0,埼玉高速鉄道,埼玉高速鉄道線,東川口,埼玉県川口市,島式1面2線,1・2番線,可動式ホーム柵,2001/03/01 00:00,,,,/home/zaiying/A-Pastani/data/埼玉高速鉄道/埼玉高速鉄道埼玉高速鉄道線_addRailname.geojson
241,7.0,埼玉高速鉄道,埼玉高速鉄道線,浦和美園,埼玉県さいたま市緑区,島式1面、相対式1面2線,1・2・3番線,可動式ホーム柵,2001/03/01 00:00,,臨時ホーム（3番線）はH31.3設置,,/home/zaiying/A-Pastani/data/埼玉高速鉄道/埼玉高速鉄道埼玉高速鉄道線_addRailname.geojson
242,1.0,北大阪急行電鉄,南北線,緑地公園,大阪府豊中市,相対式2面2線,1・2番線,可動式ホーム柵,2018/02/01 00:00,,,◎全駅,/home/zaiying/A-Pastani/data/北大阪急行電鉄/北大阪急行電鉄南北線_addRailname.geojson
243,2.0,北大阪急行電鉄,南北線,桃山台,大阪府吹田市,島式1面2線,1・2番線,可動式ホーム柵,2018/03/01 00:00,,,,/home/zaiying/A-Pastani/data/北大阪急行電鉄/北大阪急行電鉄南北線_addRailname.geojson
244,3.0,北大阪急行電鉄,南北線,千里中央,大阪府豊中市,島式1面2線,1・2番線,可動式ホーム柵,2017/09/01 00:00,,,,/home/zaiying/A-Pastani/data/北大阪急行電鉄/北大阪急行電鉄南北線_addRailname.geojson
245,1.0,首都圏新都市鉄道,つくばエクスプレス,秋葉原,東京都千代田区,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,○,,◎全駅,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
246,2.0,首都圏新都市鉄道,つくばエクスプレス,新御徒町,東京都台東区,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
247,3.0,首都圏新都市鉄道,つくばエクスプレス,浅草,東京都台東区,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
248,4.0,首都圏新都市鉄道,つくばエクスプレス,南千住,東京都荒川区,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
249,5.0,首都圏新都市鉄道,つくばエクスプレス,北千住,東京都足立区,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,○,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
250,6.0,首都圏新都市鉄道,つくばエクスプレス,青井,東京都足立区,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
251,7.0,首都圏新都市鉄道,つくばエクスプレス,六町,東京都足立区,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
252,8.0,首都圏新都市鉄道,つくばエクスプレス,八潮,埼玉県八潮市,島式2面4線,1・2・3・4番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
253,9.0,首都圏新都市鉄道,つくばエクスプレス,三郷中央,埼玉県三郷市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
254,10.0,首都圏新都市鉄道,つくばエクスプレス,南流山,千葉県流山市,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
255,11.0,首都圏新都市鉄道,つくばエクスプレス,流山セントラルパーク,千葉県流山市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
256,12.0,首都圏新都市鉄道,つくばエクスプレス,流山おおたかの森,千葉県流山市,島式2面4線,1・2・3・4番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
257,13.0,首都圏新都市鉄道,つくばエクスプレス,柏の葉キャンパス,千葉県柏市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
258,14.0,首都圏新都市鉄道,つくばエクスプレス,柏たなか,千葉県柏市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
259,15.0,首都圏新都市鉄道,つくばエクスプレス,守谷,茨城県守谷市,島式2面4線,1・2・3・4番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
260,16.0,首都圏新都市鉄道,つくばエクスプレス,みらい平,茨城県つくばみらい市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
261,17.0,首都圏新都市鉄道,つくばエクスプレス,みどりの,茨城県つくば市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
262,18.0,首都圏新都市鉄道,つくばエクスプレス,万博記念公園,茨城県つくば市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
263,19.0,首都圏新都市鉄道,つくばエクスプレス,研究学園,茨城県つくば市,相対式2面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
264,20.0,首都圏新都市鉄道,つくばエクスプレス,つくば,茨城県つくば市,島式1面2線,1・2番線,可動式ホーム柵,2005/08/01 00:00,,,,/home/zaiying/A-Pastani/data/首都圏新都市鉄道/首都圏新都市鉄道つくばエクスプレス_addRailname.geojson
265,1.0,立山黒部貫光,鋼索線,黒部平,富山県立山町,相対式2面1線,扇沢方面,可動式ホーム柵,2017/11/01 00:00,,平成30年度の営業開始日（4/15）から供用開始,△一部の駅,/home/zaiying/A-Pastani/data/立山黒部貫光/立山黒部貫光鋼索線_addRailname.geojson
266,1.0,名古屋臨海高速鉄道,あおなみ線,名古屋,愛知県愛知県愛知県名古屋市中村区,島式1面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,◎全駅,/home/zaiying/A-Pastani/data/名古屋臨海高速鉄道/名古屋臨海高速鉄道あおなみ線_addRailname.geojson
267,2.0,名古屋臨海高速鉄道,あおなみ線,ささしまライブ,愛知県愛知県名古屋市中村区,相対式2面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,,/home/zaiying/A-Pastani/data/名古屋臨海高速鉄道/名古屋臨海高速鉄道あおなみ線_addRailname.geojson
268,3.0,名古屋臨海高速鉄道,あおなみ線,小本,愛知県愛知県名古屋市中村区,島式1面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,,/home/zaiying/A-Pastani/data/名古屋臨海高速鉄道/名古屋臨海高速鉄道あおなみ線_addRailname.geojson
269,4.0,名古屋臨海高速鉄道,あおなみ線,荒子,愛知県愛知県名古屋市中川区,島式1面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,,/home/zaiying/A-Pastani/data/名古屋臨海高速鉄道/名古屋臨海高速鉄道あおなみ線_addRailname.geojson
270,5.0,名古屋臨海高速鉄道,あおなみ線,南荒子,愛知県愛知県名古屋市中川区,島式1面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,,/home/zaiying/A-Pastani/data/名古屋臨海高速鉄道/名古屋臨海高速鉄道あおなみ線_addRailname.geojson
271,6.0,名古屋臨海高速鉄道,あおなみ線,中島,愛知県愛知県名古屋市中川区,相対式2面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,,/home/zaiying/A-Pastani/data/名古屋臨海高速鉄道/名古屋臨海高速鉄道あおなみ線_addRailname.geojson
272,7.0,名古屋臨海高速鉄道,あおなみ線,名古屋競馬場前,愛知県愛知県名古屋市中川区,島式1面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,,/home/zaiying/A-Pastani/data/名古屋臨海高速鉄道/名古屋臨海高速鉄道あおなみ線_addRailname.geojson
273,8.0,名古屋臨海高速鉄道,あおなみ線,荒子川公園,愛知県愛知県名古屋市中川区,相対式2面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,,/home/zaiying/A-Pastani/data/名古屋臨海高速鉄道/名古屋臨海高速鉄道あおなみ線_addRailname.geojson
274,9.0,名古屋臨海高速鉄道,あおなみ線,稲永,愛知県愛知県名古屋市港区,相対式2面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,,/home/zaiying/A-Pastani/data/名古屋臨海高速鉄道/名古屋臨海高速鉄道あおなみ線_addRailname.geojson
275,10.0,名古屋臨海高速鉄道,あおなみ線,野跡,愛知県愛知県名古屋市港区,島式1面2線,1・2番線,可動式ホーム柵,2004/10/01 00:00,,,,/home/zaiying/A-Pastani/data/名古屋臨海高速鉄道/名古屋臨海高速鉄道あおなみ線_addRailname.geojson
276,11.0,名古屋臨海高速鉄道,あおなみ線,金城ふ頭,愛知県愛知県名古屋市港区,島式1面2線,1・2番線,ホームドア,2004/10/01 00:00,,,,/home/zaiying/A-Pastani/data/名古屋臨海高速鉄道/名古屋臨海高速鉄道あおなみ線_addRailname.geojson
277,1.0,札幌市交通局,東西線,宮の沢,北海道札幌市西区,島式1面2線,1・2番線,可動式ホーム柵,2009/03/01 00:00,,,◎全駅,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
278,2.0,札幌市交通局,東西線,発寒南,北海道札幌市西区,島式1面2線,1・2番線,可動式ホーム柵,2009/02/01 00:00,,,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
279,3.0,札幌市交通局,東西線,琴似,北海道札幌市西区,島式1面2線,1・2番線,可動式ホーム柵,2009/02/01 00:00,,,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
280,4.0,札幌市交通局,東西線,二十四軒,北海道札幌市西区,相対式2面2線,1・2番線,可動式ホーム柵,2009/02/01 00:00,,,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
281,5.0,札幌市交通局,東西線,西28丁目,北海道札幌市中央区,相対式2面2線,1・2番線,可動式ホーム柵,2009/01/01 00:00,,,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
282,6.0,札幌市交通局,東西線,円山公園,北海道札幌市中央区,相対式2面2線,1・2番線,可動式ホーム柵,2009/01/01 00:00,,,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
283,7.0,札幌市交通局,東西線,西18丁目,北海道札幌市中央区,相対式2面2線,1・2番線,可動式ホーム柵,2008/12/01 00:00,,,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
284,8.0,札幌市交通局,東西線,西11丁目,北海道札幌市中央区,島式1面2線,1・2番線,可動式ホーム柵,2008/12/01 00:00,,,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
285,9.0,札幌市交通局,東西線,大通,北海道札幌市中央区,島式1面2線,3・4番線,可動式ホーム柵,2008/12/01 00:00,○,札幌市南北線ホーム（1・2番線）はH24.10に設置、札幌市東豊線ホーム（1・2番線）はH28.12に設置,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
286,10.0,札幌市交通局,東西線,バスセンター前,北海道札幌市中央区,島式1面2線,1・2番線,可動式ホーム柵,2008/12/01 00:00,,,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
287,11.0,札幌市交通局,東西線,菊水,北海道札幌市白石区,相対式2面2線,1・2番線,可動式ホーム柵,2008/11/01 00:00,,,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
288,12.0,札幌市交通局,東西線,東札幌,北海道札幌市白石区,相対式2面2線,1・2番線,可動式ホーム柵,2008/11/01 00:00,,,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
289,13.0,札幌市交通局,東西線,白石,北海道札幌市白石区,島式1面2線,1・2番線,可動式ホーム柵,2008/11/01 00:00,,,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
290,14.0,札幌市交通局,東西線,南郷7丁目,北海道札幌市白石区,単式1面1線・島式1面2線,1・2・4番線,可動式ホーム柵,2008/05/01 00:00,,1・2番線への設置はH20.11、3番線はホームなし、3番線では乗降対応を実施しないため、固定柵を設置,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
291,15.0,札幌市交通局,東西線,南郷13丁目,北海道札幌市白石区,相対式2面2線,1・2番線,可動式ホーム柵,2008/10/01 00:00,,,,/home/zaiying/A-Pastani/data/札幌市交通局/札幌市交通局東西線_addRailname.geojson
