,駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,Unnamed: 10,当該路線の設置状況,path
24,22.0,JR東日本,山手線,駒込,東京都豊島区,島式1面2線,1・2番線,可動式ホーム柵,2013/08/01 00:00,,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
25,23.0,JR東日本,山手線,新大久保,東京都新宿区,島式1面2線,1・2番線,可動式ホーム柵,2013/09/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
26,24.0,JR東日本,山手線,目白,東京都豊島区,島式1面2線,1・2番線,可動式ホーム柵,2013/11/01 00:00,,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
27,25.0,JR東日本,山手線,高田馬場,東京都新宿区,島式1面2線,1・2番線,可動式ホーム柵,2013/12/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
28,26.0,JR東日本,山手線,田町,東京都港区,島式2面4線,2･3番線,可動式ホーム柵,2014/03/01 00:00,○,ＪＲ東日本京浜東北線ホーム（1・4番線）は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
29,27.0,JR東日本,山手線,御徒町,東京都台東区,島式2面4線,2･3番線,可動式ホーム柵,2014/05/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
30,28.0,JR東日本,山手線,西日暮里,東京都荒川区,島式2面4線,2･3番線,可動式ホーム柵,2014/06/01 00:00,○,ＪＲ東日本京浜東北線ホーム（1・4番線）は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
31,29.0,JR東日本,山手線,有楽町,東京都千代田区,島式2面4線,2･3番線,可動式ホーム柵,2014/08/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
32,30.0,JR東日本,山手線,鶯谷,東京都台東区,島式2面4線,2･3番線,可動式ホーム柵,2014/10/01 00:00,,ＪＲ東日本京浜東北線ホーム（1・4番線）は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
33,31.0,JR東日本,山手線,原宿,東京都渋谷区,島式1面2線,1･2番線,可動式ホーム柵,2014/12/01 00:00,○,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道山手線_addRailname.geojson
