,路線名,駅名,人身事故回数,index
0,西日本旅客鉄道山陽線,福川駅,9,"[0, 2772, 3859, 4449, 7439, 8139, 9556, 13407, 14771]"
1,西日本旅客鉄道山陽線,戸田駅,6,"[0, 2008, 2772, 3110, 4449, 5578]"
2,西日本旅客鉄道北陸本線,大聖寺駅,3,"[1, 10982, 12330]"
3,西日本旅客鉄道北陸本線,加賀温泉駅,3,"[1, 10982, 12330]"
4,京浜急行電鉄京急本線,京急川崎駅,15,"[2, 1025, 1398, 1466, 4814, 6235, 8371, 9245, 10381, 10388, 10943, 11183, 11549, 12606, 14556]"
5,京浜急行電鉄京急本線,八丁畷駅,31,"[2, 852, 1025, 1398, 1466, 1548, 1895, 1916, 2663, 2808, 3289, 3756, 4468, 4814, 5750, 6103, 6235, 6408, 7953, 8371, 9170, 9245, 10381, 10388, 10943, 11145, 11343, 11822, 11866, 14275, 14556]"
6,西武鉄道西武池袋線,元加治駅,13,"[3, 341, 2568, 2881, 3761, 4343, 4883, 4884, 5457, 6360, 10363, 11138, 11474]"
7,西武鉄道西武池袋線,仏子駅,6,"[3, 3244, 4343, 6424, 8028, 11138]"
8,南海電気鉄道南海本線,七道駅,2,"[4, 3952]"
9,山陽電気鉄道本線,須磨寺駅,2,"[5, 4159]"
10,"['西日本旅客鉄道東海道線', '西日本旅客鉄道北陸本線']",彦根駅,10,"[6, 3961, 4158, 5427, 5493, 8813, 9901, 10125, 13150, 13768]"
11,"['西日本旅客鉄道東海道線', '西日本旅客鉄道北陸本線']",南彦根駅,10,"[6, 747, 2940, 3961, 4158, 5493, 7180, 10125, 13569, 13768]"
12,九州旅客鉄道日豊本線,三股駅,5,"[7, 1124, 2446, 5058, 10333]"
13,九州旅客鉄道日豊本線,都城駅,4,"[7, 2446, 5058, 10333]"
14,九州旅客鉄道鹿児島本線,竹下駅,13,"[8, 1803, 2269, 2311, 3434, 4481, 5190, 5611, 8200, 8715, 9205, 10879, 13293]"
15,東日本旅客鉄道常磐線,柏駅,32,"[9, 395, 1294, 1631, 2048, 3257, 3657, 3869, 4149, 5675, 5897, 6236, 6639, 6765, 7613, 7687, 8922, 9242, 9309, 9842, 11254, 11492, 11758, 11935, 11954, 12140, 12732, 13265, 13337, 13576, 14395, 14762]"
16,小田急電鉄小田急江ノ島線,大和駅,25,"[10, 424, 585, 1081, 1814, 2174, 2344, 3116, 3266, 4034, 4511, 5306, 5880, 6116, 6926, 7121, 7633, 8542, 10591, 10953, 12257, 12850, 13236, 13359, 13507]"
17,小田急電鉄小田急江ノ島線,桜ヶ丘駅,18,"[10, 424, 2174, 3266, 3564, 4034, 4511, 4758, 6926, 7121, 7380, 7536, 8542, 10953, 11117, 11119, 12801, 13359]"
18,阪急電鉄阪急京都本線,高槻市駅,10,"[11, 3846, 4154, 5459, 7051, 8973, 11283, 13389, 14348, 14573]"
19,東日本旅客鉄道両毛線,栃木駅,2,"[12, 2286]"
20,東日本旅客鉄道両毛線,思川駅,4,"[12, 2286, 6954, 14857]"
21,西日本旅客鉄道山陽線,倉敷駅,14,"[13, 1629, 3138, 6570, 6933, 7012, 8135, 8875, 9261, 9587, 10443, 10717, 13202, 14625]"
22,西日本旅客鉄道山陽線,西阿知駅,8,"[13, 3970, 5634, 6570, 8135, 8249, 9587, 10717]"
23,京王電鉄京王線,多磨霊園駅,8,"[14, 287, 403, 595, 2307, 8834, 9755, 10972]"
24,京王電鉄京王線,東府中駅,11,"[14, 486, 859, 1269, 2934, 8412, 9100, 9755, 13892, 14310, 14443]"
25,長崎電気軌道本線,伊賀屋駅,12,"[15, 1118, 1559, 1977, 3115, 4047, 5615, 5930, 7076, 9098, 9741, 11066]"
26,長崎電気軌道本線,佐賀駅,13,"[15, 1118, 1559, 3115, 4047, 4401, 4839, 5930, 7076, 9098, 11066, 11210, 12452]"
27,東日本旅客鉄道八高線,東福生駅,4,"[16, 3210, 6980, 12737]"
28,東京地下鉄銀座線,銀座駅,1,[17]
29,西日本旅客鉄道大阪環状線,桜ノ宮駅,3,"[18, 1881, 10795]"
30,西日本旅客鉄道大阪環状線,天満駅,4,"[18, 91, 11810, 12918]"
31,西日本鉄道西鉄天神大牟田線,高宮駅,5,"[19, 1086, 1620, 6885, 9398]"
32,東日本旅客鉄道中央本線,初狩駅,1,[20]
33,西武鉄道西武新宿線,新狭山駅,13,"[21, 315, 1128, 2630, 3517, 5505, 5971, 6813, 9660, 11996, 13094, 13364, 14698]"
34,西武鉄道西武新宿線,南大塚駅,14,"[21, 1069, 1522, 1905, 1955, 3493, 3739, 8123, 10779, 11627, 13364, 13841, 14417, 14698]"
35,西武鉄道西武池袋線,東久留米駅,20,"[22, 451, 3055, 3715, 4187, 4467, 4984, 6231, 9829, 9967, 10268, 10593, 10899, 11665, 11795, 12299, 12352, 12651, 14293, 14731]"
36,名古屋鉄道名鉄常滑線,長浦駅,3,"[23, 7340, 10628]"
37,名古屋鉄道名鉄常滑線,日長駅,5,"[23, 1514, 7157, 10628, 12567]"
38,東武鉄道東武日光線,静和駅,7,"[24, 1132, 4736, 6936, 7982, 9445, 13743]"
39,東武鉄道東武日光線,新大平下駅,5,"[24, 1132, 4736, 6936, 9445]"
40,阪急電鉄阪急京都本線,上牧駅,9,"[25, 4088, 4738, 4821, 5459, 7075, 7742, 10581, 11609]"
41,西日本旅客鉄道阪和線,長滝駅,5,"[26, 3286, 3456, 5317, 8709]"
42,西日本旅客鉄道阪和線,新家駅,6,"[26, 3456, 5317, 6069, 8709, 12699]"
43,東海旅客鉄道東海道線,吉原駅,9,"[27, 1941, 5492, 8032, 8054, 8158, 9703, 14377, 14868]"
44,東海旅客鉄道東海道線,富士駅,8,"[27, 1941, 2903, 8032, 8158, 10627, 10679, 14377]"
45,西日本旅客鉄道片町線,鴻池新田駅,9,"[28, 6575, 7332, 7843, 9863, 10851, 11802, 13043, 13935]"
46,相模鉄道相鉄本線,南万騎が原駅,1,[29]
47,東日本旅客鉄道東海道線,大船駅,12,"[30, 362, 690, 896, 3532, 7950, 8706, 10529, 10846, 11262, 12695, 14452]"
48,東日本旅客鉄道埼京線,南与野駅,2,"[31, 11577]"
49,小田急電鉄小田急江ノ島線,長後駅,10,"[32, 155, 621, 1103, 1415, 1567, 2833, 8366, 8367, 9905]"
50,小田急電鉄小田急江ノ島線,湘南台駅,7,"[32, 155, 2481, 8366, 8386, 10106, 11602]"
51,九州旅客鉄道日豊本線,東都農駅,2,"[33, 6553]"
52,九州旅客鉄道日豊本線,都農駅,3,"[33, 6553, 13555]"
53,東日本旅客鉄道信越本線,荻川駅,14,"[34, 5170, 6522, 6548, 6961, 8026, 9714, 11789, 12296, 13539, 13540, 13905, 14117, 14709]"
54,東日本旅客鉄道信越本線,亀田駅,10,"[34, 4865, 6961, 9714, 10662, 11789, 13486, 13539, 13540, 14117]"
55,九州旅客鉄道久大本線,筑後大石駅,1,[35]
56,九州旅客鉄道久大本線,夜明駅,2,"[35, 592]"
57,東海旅客鉄道東海道線,岡崎駅,10,"[36, 63, 278, 1195, 1689, 3655, 4039, 10574, 12113, 13055]"
58,東海旅客鉄道東海道線,西岡崎駅,9,"[36, 1195, 1305, 1341, 2069, 3045, 3655, 5650, 5895]"
59,東日本旅客鉄道埼京線,戸田駅,9,"[37, 5501, 5629, 6573, 9177, 10487, 10737, 12380, 12509]"
60,京成電鉄京成本線,志津駅,7,"[38, 1533, 2339, 2410, 2599, 3075, 12287]"
61,東海旅客鉄道中央線,勝川駅,9,"[39, 222, 347, 1815, 2278, 7103, 13007, 13289, 14752]"
62,東海旅客鉄道中央線,春日井駅,10,"[39, 222, 2278, 6617, 7103, 11636, 12724, 13289, 14752, 14847]"
63,秩父鉄道秩父本線,親鼻駅,4,"[40, 261, 3990, 11529]"
64,秩父鉄道秩父本線,皆野駅,2,"[40, 11529]"
65,東日本旅客鉄道外房線,蘇我駅,10,"[41, 762, 2796, 2842, 4531, 8846, 10526, 10610, 12541, 12934]"
66,東日本旅客鉄道外房線,鎌取駅,17,"[41, 110, 762, 2796, 2837, 2842, 3105, 3810, 3815, 4531, 4727, 6552, 10084, 10610, 12541, 12934, 14838]"
67,四国旅客鉄道予讃線,讃岐塩屋駅,4,"[42, 74, 1085, 5701]"
68,九州旅客鉄道鹿児島本線,けやき台駅,8,"[43, 312, 3521, 4660, 10660, 11648, 12202, 13754]"
69,東武鉄道東武日光線,栃木駅,4,"[44, 10473, 10543, 11127]"
70,東武鉄道東武日光線,新栃木駅,5,"[44, 1838, 10473, 10543, 11952]"
71,近畿日本鉄道近鉄京都線,三山木駅,3,"[45, 1287, 6847]"
72,東日本旅客鉄道常磐線,南千住駅,16,"[46, 1020, 1479, 2011, 3707, 4586, 4704, 5268, 6516, 6549, 7458, 7967, 8280, 11554, 11947, 13968]"
73,西武鉄道西武池袋線,清瀬駅,25,"[47, 411, 451, 780, 916, 2411, 2890, 3023, 4013, 4467, 5514, 6157, 6835, 6887, 7501, 8194, 9829, 10593, 11031, 11528, 11607, 12299, 12651, 12779, 13381]"
74,東武鉄道東武野田線,大和田駅,9,"[48, 567, 848, 1183, 1355, 2054, 4021, 5151, 12663]"
75,南海電気鉄道南海高野線,中百舌鳥駅,10,"[49, 135, 462, 3911, 5451, 8133, 8687, 10099, 12768, 13237]"
76,西日本旅客鉄道舞鶴線,西舞鶴駅,3,"[50, 5112, 10422]"
77,西日本旅客鉄道舞鶴線,東舞鶴駅,3,"[50, 5112, 10422]"
78,東日本旅客鉄道白新線,西新発田駅,7,"[51, 114, 936, 1107, 1501, 2621, 2654]"
79,東日本旅客鉄道白新線,新発田駅,3,"[51, 114, 936]"
80,西武鉄道西武池袋線,西所沢駅,13,"[52, 1289, 4404, 5453, 5683, 5691, 6890, 8115, 9524, 10577, 11629, 13122, 14268]"
81,西武鉄道西武池袋線,小手指駅,21,"[52, 199, 363, 434, 1339, 1419, 2782, 3673, 4404, 5691, 5822, 7515, 7666, 8115, 8394, 9524, 9668, 10577, 13122, 13516, 14534]"
82,京浜急行電鉄京急本線,堀ノ内駅,2,"[53, 11304]"
83,名古屋鉄道名鉄名古屋本線,左京山駅,8,"[54, 1938, 6426, 6487, 8525, 12052, 14483, 14579]"
84,名古屋鉄道名鉄名古屋本線,鳴海駅,8,"[54, 872, 1231, 5460, 6426, 8262, 8505, 9083]"
85,九州旅客鉄道鹿児島本線,春日駅,4,"[55, 760, 4697, 14504]"
86,西日本旅客鉄道小浜線,若狭高浜駅,1,[56]
87,西日本旅客鉄道小浜線,若狭和田駅,1,[56]
88,東日本旅客鉄道東北本線,安達駅,3,"[57, 5090, 5539]"
89,東日本旅客鉄道東北本線,二本松駅,3,"[57, 5244, 5539]"
90,東日本旅客鉄道高崎線,新町駅,6,"[58, 1380, 4428, 11927, 12445, 13191]"
91,東日本旅客鉄道高崎線,倉賀野駅,7,"[58, 1747, 1859, 4861, 7466, 10908, 11927]"
92,九州旅客鉄道宮崎空港線,南宮崎駅,3,"[59, 388, 8456]"
93,九州旅客鉄道宮崎空港線,田吉駅,3,"[59, 388, 8456]"
94,東日本旅客鉄道白新線,東新潟駅,3,"[60, 5692, 6679]"
95,東日本旅客鉄道白新線,大形駅,4,"[60, 845, 1994, 2330]"
96,東海旅客鉄道東海道線,焼津駅,4,"[61, 1219, 11994, 13253]"
97,東武鉄道東武東上本線,大山駅,25,"[62, 1011, 1172, 4094, 5481, 7704, 7797, 7854, 7927, 8911, 9045, 9244, 9592, 9651, 9877, 9899, 10164, 11062, 11835, 12324, 12563, 12852, 13545, 14701, 14877]"
98,東武鉄道東武東上本線,川越駅,9,"[64, 843, 3713, 5010, 5402, 8486, 10802, 11978, 11980]"
99,西日本旅客鉄道山陰本線,西出雲駅,3,"[65, 14120, 14356]"
100,西日本旅客鉄道阪和線,三国ヶ丘駅,5,"[66, 4507, 5015, 8689, 8800]"
101,東武鉄道東武東上本線,みずほ台駅,22,"[67, 2362, 2383, 2398, 2902, 2910, 3608, 3820, 4506, 4964, 5830, 6351, 6686, 6929, 8622, 9116, 9172, 10028, 10835, 11346, 11452, 12475]"
102,東武鉄道東武東上本線,鶴瀬駅,26,"[67, 1082, 1258, 1451, 2362, 2502, 2601, 3492, 3608, 4447, 4506, 4961, 5282, 5830, 6685, 9172, 9729, 9774, 10028, 10979, 11092, 12475, 13127, 13928, 14371, 14514]"
103,名古屋鉄道名鉄瀬戸線,大曽根駅,2,"[68, 5881]"
104,名古屋鉄道名鉄瀬戸線,矢田駅,4,"[68, 3793, 4050, 7931]"
105,京王電鉄京王線,代田橋駅,15,"[69, 2028, 2658, 4243, 4475, 5257, 5365, 5608, 6697, 7526, 7876, 8949, 10061, 12319, 12379]"
106,京王電鉄京王線,明大前駅,15,"[69, 998, 2028, 5257, 5566, 5608, 5663, 6332, 6362, 6697, 7876, 8403, 11237, 12044, 12319]"
107,東日本旅客鉄道中央本線,豊田駅,19,"[70, 182, 2248, 2434, 4164, 4840, 5108, 6485, 7203, 7558, 8099, 8483, 8894, 9216, 9765, 10537, 11173, 12043, 13377]"
108,東日本旅客鉄道中央本線,八王子駅,34,"[70, 555, 2256, 3586, 3724, 3838, 3957, 4164, 4222, 4592, 5972, 6066, 6485, 6542, 7203, 7350, 8099, 8347, 8350, 9322, 10568, 11456, 12043, 12769, 13013, 13110, 13377, 13694, 13826, 14132, 14153, 14264, 14326, 14654]"
109,東日本旅客鉄道東北本線,宝積寺駅,8,"[71, 233, 4056, 7951, 9812, 10834, 10980, 11413]"
110,近畿日本鉄道近鉄奈良線,大和西大寺駅,16,"[72, 1222, 2539, 7831, 8703, 9317, 10067, 10174, 10269, 10454, 10839, 12201, 12368, 14145, 14180, 14538]"
111,近畿日本鉄道近鉄奈良線,新大宮駅,11,"[72, 2539, 5998, 8703, 9243, 9773, 10839, 12201, 12368, 13907, 14050]"
112,東日本旅客鉄道青梅線,立川駅,6,"[73, 2868, 4721, 5250, 6807, 9106]"
113,東日本旅客鉄道青梅線,西立川駅,8,"[73, 1967, 2868, 3698, 4721, 5250, 6807, 9106]"
114,四国旅客鉄道予讃線,多度津駅,8,"[74, 1085, 1147, 1826, 1837, 5701, 11325, 12899]"
115,東日本旅客鉄道中央本線,武蔵小金井駅,29,"[75, 101, 638, 2402, 2595, 3235, 3604, 4582, 4774, 5096, 5230, 5904, 7560, 7562, 7595, 7924, 7989, 8408, 8577, 8619, 9624, 10081, 10299, 10746, 11373, 12317, 12365, 13003, 14494]"
116,西武鉄道西武新宿線,花小金井駅,30,"[76, 178, 381, 1181, 2186, 2209, 2346, 3401, 3782, 3988, 4281, 4293, 5012, 6276, 6802, 7363, 7541, 9241, 9297, 9585, 10698, 10724, 11116, 11441, 11721, 11815, 12460, 12981, 14010, 14140]"
117,西日本旅客鉄道福知山線,川西池田駅,8,"[77, 874, 1068, 2420, 2987, 7252, 8305, 9277]"
118,西日本旅客鉄道福知山線,中山寺駅,8,"[77, 2721, 2859, 2987, 4114, 7252, 10317, 10367]"
119,西日本旅客鉄道奈良線,黄檗駅,6,"[78, 5143, 7430, 8953, 10783, 12401]"
120,京浜急行電鉄京急本線,屏風浦駅,13,"[79, 754, 784, 888, 1015, 1043, 1450, 2836, 4987, 6061, 7082, 8362, 10687]"
121,京浜急行電鉄京急本線,杉田駅,16,"[79, 754, 791, 1039, 1043, 1304, 1450, 1721, 5078, 6061, 6092, 7082, 7778, 8356, 10095, 11849]"
122,北海道旅客鉄道函館本線,光珠内駅,2,"[80, 8585]"
123,東武鉄道東武日光線,家中駅,3,"[81, 7276, 9159]"
124,東武鉄道東武日光線,東武金崎駅,2,"[81, 9159]"
125,西日本旅客鉄道東海道線,千里丘駅,12,"[82, 729, 2655, 3722, 3822, 4952, 5656, 7561, 10689, 11002, 11406, 13908]"
126,西日本鉄道西鉄天神大牟田線,大橋駅,4,"[83, 2919, 5720, 13800]"
127,西日本鉄道西鉄天神大牟田線,井尻駅,9,"[83, 847, 4322, 5720, 6175, 7102, 7292, 12821, 13800]"
128,西武鉄道西武池袋線,東長崎駅,26,"[84, 156, 193, 412, 894, 1017, 1678, 2829, 2921, 3337, 3556, 3998, 4228, 4421, 4434, 5404, 6498, 7266, 7285, 7352, 7825, 10240, 11163, 11281, 11985, 14204]"
129,西武鉄道西武池袋線,江古田駅,9,"[84, 412, 894, 2662, 2729, 4111, 5368, 7285, 13647]"
130,東急電鉄東急多摩川線,矢口渡駅,1,[85]
131,東急電鉄東急多摩川線,蒲田駅,1,[85]
132,近畿日本鉄道近鉄名古屋線,鼓ヶ浦駅,8,"[86, 263, 1367, 4717, 7169, 8649, 13132, 13965]"
133,近畿日本鉄道近鉄名古屋線,磯山駅,6,"[86, 263, 4717, 8649, 13132, 13965]"
134,小田急電鉄小田急小田原線,新百合ヶ丘駅,10,"[87, 3712, 5298, 5431, 6735, 6833, 9873, 11512, 11749, 13104]"
135,小田急電鉄小田急小田原線,柿生駅,16,"[87, 1611, 4570, 5431, 5557, 5715, 6833, 6976, 7490, 7892, 9218, 10684, 11293, 11512, 11749, 13104]"
136,近畿日本鉄道近鉄奈良線,額田駅,6,"[88, 3255, 6029, 11432, 11909, 12077]"
137,近畿日本鉄道近鉄奈良線,石切駅,9,"[88, 596, 1408, 1749, 6029, 11432, 11909, 12077, 12486]"
138,近畿日本鉄道近鉄天理線,二階堂駅,5,"[89, 2924, 7616, 13117, 14677]"
139,近畿日本鉄道近鉄天理線,前栽駅,2,"[89, 14677]"
140,東武鉄道東武伊勢崎線,五反野駅,2,"[90, 493]"
141,東武鉄道東武伊勢崎線,杉戸高野台駅,1,[92]
142,東武鉄道東武伊勢崎線,幸手駅,2,"[92, 3974]"
143,京成電鉄京成本線,京成八幡駅,9,"[93, 210, 1373, 3264, 7057, 8171, 8623, 12576, 14456]"
144,京成電鉄京成本線,鬼越駅,7,"[93, 210, 3264, 7057, 8623, 10557, 12576]"
145,九州旅客鉄道鹿児島本線,荒木駅,11,"[94, 203, 1939, 2873, 5419, 7105, 7768, 7938, 11184, 12349, 13530]"
146,九州旅客鉄道鹿児島本線,西牟田駅,6,"[94, 2873, 7105, 7938, 12349, 13530]"
147,四国旅客鉄道徳島線,鮎喰駅,5,"[95, 1030, 8322, 11573, 13675]"
148,四国旅客鉄道徳島線,府中駅,5,"[95, 1030, 11573, 13157, 13675]"
149,東日本旅客鉄道石巻線,渡波駅,3,"[96, 6321, 9129]"
150,東日本旅客鉄道石巻線,万石浦駅,2,"[96, 6321]"
151,東日本旅客鉄道水郡線,磐城塙駅,3,"[97, 2900, 7811]"
152,東日本旅客鉄道水郡線,近津駅,2,"[97, 2900]"
153,京王電鉄京王線,仙川駅,19,"[98, 118, 556, 1228, 1449, 2051, 2374, 5293, 5550, 5878, 5962, 7908, 7992, 8607, 10284, 10552, 10652, 12611, 13750]"
154,北海道旅客鉄道函館本線,大沼公園駅,2,"[99, 1890]"
155,北海道旅客鉄道函館本線,赤井川駅,2,"[99, 1890]"
156,小田急電鉄小田急江ノ島線,六会日大前駅,10,"[100, 559, 2473, 3227, 7641, 8653, 8684, 10106, 10309, 11602]"
157,小田急電鉄小田急江ノ島線,善行駅,9,"[100, 1300, 7641, 8653, 8684, 10309, 11524, 14125, 14338]"
158,東武鉄道東武越生線,武州長瀬駅,5,"[102, 5366, 10316, 11185, 13120]"
159,東武鉄道東武越生線,東毛呂駅,2,"[102, 2639]"
160,西日本旅客鉄道片町線,鴫野駅,12,"[103, 829, 2470, 3992, 9147, 10957, 11845, 11885, 12298, 12797, 13021, 14742]"
161,西日本旅客鉄道片町線,京橋駅,6,"[103, 829, 2470, 9147, 11845, 12298]"
162,名古屋鉄道名鉄名古屋本線,一ツ木駅,6,"[104, 113, 7132, 8559, 12500, 13369]"
163,京王電鉄京王線,府中駅,15,"[105, 472, 859, 1123, 1526, 1872, 2934, 3433, 6169, 8735, 8964, 9100, 9136, 13777, 13892]"
164,京王電鉄京王線,分倍河原駅,17,"[105, 472, 1123, 1374, 1526, 3433, 4652, 5350, 8735, 8964, 9136, 9744, 11884, 12760, 13777, 14367, 14764]"
165,西武鉄道西武新宿線,下落合駅,15,"[106, 342, 1624, 2237, 2581, 4398, 5239, 6775, 8074, 8815, 10554, 10608, 11234, 12912, 13784]"
166,西武鉄道西武新宿線,中井駅,14,"[106, 1771, 1980, 3034, 4398, 6495, 6775, 7246, 9348, 9650, 10057, 10275, 11234, 12912]"
167,東武鉄道東武伊勢崎線,加須駅,13,"[107, 228, 573, 1356, 2014, 2230, 2457, 4256, 7743, 8429, 11372, 13140, 14658]"
168,東武鉄道東武伊勢崎線,南羽生駅,11,"[107, 2142, 2230, 2457, 4169, 4500, 4731, 7743, 8429, 11372, 14658]"
169,近畿日本鉄道近鉄大阪線,大和高田駅,11,"[108, 3087, 3154, 4108, 4216, 4634, 6189, 6620, 8384, 10885, 13166]"
170,西日本旅客鉄道境線,中浜駅,3,"[109, 2719, 14831]"
171,西日本旅客鉄道境線,高松町駅,2,"[109, 2719]"
172,東日本旅客鉄道外房線,誉田駅,19,"[110, 759, 799, 2108, 2837, 3198, 3507, 3810, 3815, 4096, 4727, 5042, 5613, 6794, 8860, 9113, 9552, 10044, 14838]"
173,四国旅客鉄道土讃線,薊野駅,4,"[111, 5476, 11420, 13179]"
174,東日本旅客鉄道花輪線,厨川駅,1,[112]
175,東日本旅客鉄道花輪線,巣子駅,1,[112]
176,"['東日本旅客鉄道中央本線', '東日本旅客鉄道総武本線']",四ツ谷駅,11,"[115, 512, 2864, 6115, 7546, 9149, 9179, 10379, 10941, 14568, 14624]"
177,九州旅客鉄道日豊本線,門川駅,5,"[116, 958, 3918, 7138, 14111]"
178,九州旅客鉄道日豊本線,日向市駅,5,"[116, 958, 3918, 7138, 7431]"
179,九州旅客鉄道日豊本線,重岡駅,2,"[117, 8876]"
180,九州旅客鉄道日豊本線,宗太郎駅,2,"[117, 8876]"
181,京王電鉄京王線,千歳烏山駅,22,"[118, 1228, 2051, 2653, 3965, 5962, 6000, 7908, 9526, 9574, 10284, 10288, 10652, 10719, 10831, 12156, 12184, 12774, 12924, 13733, 13750, 13911]"
182,東京都交通局浅草線,高輪台駅,2,"[119, 12416]"
183,東日本旅客鉄道五日市線,武蔵増戸駅,4,"[120, 1200, 1933, 9496]"
184,東日本旅客鉄道五日市線,武蔵五日市駅,2,"[120, 1200]"
185,西日本旅客鉄道片町線,四条畷駅,9,"[121, 2799, 5370, 5579, 5882, 9917, 9976, 11771, 14611]"
186,西日本旅客鉄道片町線,野崎駅,18,"[121, 2167, 4510, 4749, 4823, 5370, 5882, 5892, 6172, 7416, 8197, 9580, 9816, 9917, 10771, 11771, 12832, 14611]"
187,東日本旅客鉄道常磐線,上野駅,2,"[122, 12833]"
188,西日本旅客鉄道福知山線,伊丹駅,7,"[123, 501, 575, 4232, 4362, 13393, 14213]"
189,西日本旅客鉄道福知山線,北伊丹駅,15,"[123, 501, 513, 575, 874, 1068, 2009, 2420, 4232, 4362, 8305, 9277, 13393, 14133, 14213]"
190,東日本旅客鉄道中央本線,新宿駅,22,"[124, 401, 481, 951, 1578, 1596, 2290, 3299, 4416, 6323, 6789, 8357, 8393, 8682, 9294, 10457, 11243, 11747, 12544, 14197, 14427, 14889]"
191,西日本旅客鉄道山陽線,西高屋駅,6,"[125, 190, 2716, 7677, 11889, 13799]"
192,西日本旅客鉄道山陽線,西条駅,15,"[125, 190, 499, 2082, 2254, 5896, 8447, 8449, 9981, 10347, 12111, 13581, 13799, 14339, 14344]"
193,西日本旅客鉄道山陰本線,石原駅,3,"[126, 9219, 12861]"
194,東海旅客鉄道東海道新幹線,豊橋駅,4,"[127, 1018, 12565, 14018]"
195,小田急電鉄小田急小田原線,座間駅,16,"[128, 270, 902, 1217, 2442, 8694, 8745, 9060, 9375, 9946, 10658, 11004, 12067, 14194, 14229, 14498]"
196,小田急電鉄小田急小田原線,海老名駅,11,"[128, 608, 902, 1168, 1217, 2442, 4305, 7834, 9060, 10658, 14194]"
197,"['東日本旅客鉄道中央本線', '東日本旅客鉄道総武本線']",新小岩駅,53,"[129, 657, 4142, 4296, 4868, 4898, 5164, 5276, 5652, 5832, 5836, 5995, 6012, 6024, 6145, 6399, 6590, 6648, 6982, 7109, 7261, 7680, 8022, 8069, 8083, 8147, 8646, 8771, 8792, 8879, 8883, 9079, 9840, 9864, 9927, 10088, 10273, 10797, 11742, 11765, 11922, 12159, 12250, 12300, 12525, 12583, 12670, 12764, 12810, 12814, 13281, 13654, 14894]"
198,高松琴平電気鉄道志度線,六万寺駅,1,[130]
199,高松琴平電気鉄道志度線,大町駅,3,"[130, 12217, 12487]"
200,東武鉄道東武伊勢崎線,和戸駅,9,"[131, 475, 492, 6051, 6689, 8497, 8886, 9999, 12260]"
201,東日本旅客鉄道東北本線,自治医大駅,6,"[132, 710, 6974, 9148, 11532, 12408]"
202,東日本旅客鉄道常磐線,日立駅,8,"[133, 634, 1603, 1985, 5870, 8225, 11792, 14464]"
203,西日本旅客鉄道山陽線,里庄駅,6,"[134, 3670, 5700, 8025, 12838, 13517]"
204,西日本旅客鉄道山陽線,笠岡駅,9,"[134, 3527, 3670, 3851, 5700, 8025, 10121, 11745, 13517]"
205,南海電気鉄道南海高野線,白鷺駅,6,"[135, 462, 3911, 7792, 11157, 13872]"
206,東日本旅客鉄道山手線,新宿駅,15,"[136, 1523, 3061, 4992, 6107, 7210, 7622, 7703, 8290, 8440, 9616, 10348, 10409, 12579, 13406]"
207,小田急電鉄小田急小田原線,厚木駅,6,"[137, 1866, 2338, 5640, 7917, 8240]"
208,京王電鉄京王井の頭線,久我山駅,9,"[138, 2239, 4294, 5516, 6185, 6702, 11118, 12996, 13886]"
209,京王電鉄京王井の頭線,三鷹台駅,5,"[138, 5516, 6185, 6702, 12996]"
210,東日本旅客鉄道埼京線,北戸田駅,8,"[139, 385, 661, 928, 2577, 3414, 10247, 13946]"
211,東日本旅客鉄道奥羽本線,秋田駅,7,"[140, 5186, 6079, 6301, 6953, 8343, 9697]"
212,西武鉄道西武池袋線,大泉学園駅,25,"[141, 334, 478, 787, 1159, 2154, 3411, 3650, 3714, 4041, 4072, 4180, 4291, 5759, 5780, 6176, 6557, 7009, 8354, 8797, 9937, 11329, 12507, 12636, 12993]"
213,西武鉄道西武池袋線,保谷駅,21,"[141, 753, 787, 1917, 2893, 3313, 3650, 4072, 5636, 5759, 5976, 5999, 6176, 6608, 7630, 7777, 8354, 10853, 12507, 12616, 12621]"
214,東日本旅客鉄道青梅線,羽村駅,10,"[142, 240, 793, 2308, 4279, 4335, 5697, 9889, 11906, 13160]"
215,東日本旅客鉄道青梅線,小作駅,9,"[142, 240, 1021, 2308, 5697, 7867, 9889, 9909, 11906]"
216,"['東海旅客鉄道紀勢線', '西日本旅客鉄道紀勢線']",古座駅,1,[143]
217,"['東海旅客鉄道紀勢線', '西日本旅客鉄道紀勢線']",紀伊姫駅,1,[143]
218,阪急電鉄阪急京都本線,上新庄駅,13,"[144, 1057, 1521, 3294, 3486, 5002, 5263, 6580, 7046, 11006, 11678, 14510, 14700]"
219,西日本旅客鉄道大阪環状線,弁天町駅,2,"[145, 9282]"
220,京浜急行電鉄京急久里浜線,三浦海岸駅,2,"[146, 3380]"
221,東日本旅客鉄道高崎線,行田駅,13,"[147, 2004, 2511, 3139, 3479, 4877, 5381, 5804, 6503, 6567, 8134, 12149, 13395]"
222,東日本旅客鉄道中央本線,御茶ノ水駅,11,"[148, 891, 2864, 2975, 4070, 8016, 9004, 11171, 11519, 12294, 12972]"
223,西日本鉄道西鉄甘木線,甘木駅,2,"[149, 11850]"
224,西日本鉄道西鉄甘木線,馬田駅,2,"[149, 11850]"
