,路線名,駅名,人身事故回数,index
3306,東日本旅客鉄道外房線,茂原駅,4,"[4574, 10141, 11521, 14560]"
3307,松浦鉄道西九州線,上相浦駅,1,[4578]
3308,松浦鉄道西九州線,大学駅,1,[4578]
3309,叡山電鉄叡山本線,修学院駅,2,"[4579, 10110]"
3310,叡山電鉄叡山本線,宝ヶ池駅,1,[4579]
3311,九州旅客鉄道鹿児島本線,千鳥駅,3,"[4581, 4815, 6884]"
3312,岳南電車岳南線,ジヤトコ前駅,1,[4584]
3313,岳南電車岳南線,吉原本町駅,1,[4584]
3314,東京モノレール東京モノレール羽田線,羽田空港第2ビル駅,1,[4585]
3315,東京都交通局都電荒川線,学習院下停留場,9,"[4587, 6026, 7070, 9423, 10248, 10590, 11499, 14248, 14622]"
3316,東京都交通局都電荒川線,面影橋停留場,10,"[4587, 6026, 7070, 9423, 9490, 10248, 10590, 11499, 14248, 14622]"
3317,西日本旅客鉄道山陰本線,千代川駅,2,"[4590, 11249]"
3318,東日本旅客鉄道中央本線,大月駅,5,"[4593, 7579, 8932, 11436, 13702]"
3319,東日本旅客鉄道中央本線,猿橋駅,3,"[4593, 7529, 8932]"
3320,新京成電鉄新京成線,京成津田沼駅,1,[4598]
3321,東日本旅客鉄道越後線,小針駅,2,"[4600, 11694]"
3322,"['東日本旅客鉄道常磐線', '東京地下鉄千代田線']",綾瀬駅,5,"[4605, 6245, 6897, 7638, 9033]"
3323,西日本旅客鉄道桜島線,ユニバーサルシティ駅,1,[4608]
3324,新京成電鉄新京成線,松戸駅,2,"[4613, 12387]"
3325,新京成電鉄新京成線,上本郷駅,3,"[4613, 10340, 12387]"
3326,京浜急行電鉄京急本線,泉岳寺駅,1,[4618]
3327,相模鉄道相鉄本線,相模大塚駅,3,"[4619, 5595, 7893]"
3328,九州旅客鉄道日豊本線,大在駅,2,"[4624, 7359]"
3329,東日本旅客鉄道水戸線,笠間駅,2,"[4628, 5848]"
3330,東日本旅客鉄道水戸線,宍戸駅,2,"[4628, 5848]"
3331,西日本旅客鉄道山陽線,広島駅,3,"[4629, 10237, 12031]"
3332,西日本旅客鉄道関西本線,三郷駅,5,"[4636, 8584, 11550, 14212, 14512]"
3333,西日本旅客鉄道福知山線,南矢代駅,2,"[4643, 7715]"
3334,西日本旅客鉄道福知山線,古市駅,1,[4643]
3335,長崎電気軌道本線,新鳥栖駅,1,[4644]
3336,東京地下鉄銀座線,京橋駅,3,"[4645, 6660, 9287]"
3337,京浜急行電鉄京急本線,逸見駅,2,"[4649, 11897]"
3338,京阪電気鉄道京阪本線,光善寺駅,12,"[4650, 5387, 5446, 6607, 7236, 7676, 8593, 9464, 9644, 9709, 11502, 12382]"
3339,東京地下鉄千代田線,新御茶ノ水駅,1,[4657]
3340,東日本旅客鉄道小海線,八千穂駅,1,[4659]
3341,東日本旅客鉄道小海線,海瀬駅,1,[4659]
3342,京阪電気鉄道京阪本線,森小路駅,1,[4662]
3343,泉北高速鉄道泉北高速鉄道線,栂・美木多駅,1,[4665]
3344,京浜急行電鉄京急大師線,京急川崎駅,2,"[4668, 7609]"
3345,京浜急行電鉄京急大師線,港町駅,4,"[4668, 6274, 6347, 7609]"
3346,四国旅客鉄道予讃線,伊予三芳駅,2,"[4671, 7860]"
3347,東急電鉄東急大井町線,尾山台駅,4,"[4676, 9847, 11019, 12025]"
3348,いすみ鉄道いすみ線,久我原駅,1,[4678]
3349,いすみ鉄道いすみ線,総元駅,1,[4678]
3350,肥薩おれんじ鉄道肥薩おれんじ鉄道線,出水駅,5,"[4680, 5798, 6634, 11166, 12120]"
3351,肥薩おれんじ鉄道肥薩おれんじ鉄道線,西出水駅,1,[4680]
3352,東日本旅客鉄道奥羽本線,庭坂駅,1,[4682]
3353,京浜急行電鉄京急本線,浦賀駅,2,"[4683, 8339]"
3354,東海旅客鉄道御殿場線,裾野駅,4,"[4685, 8307, 11681, 13162]"
3355,東海旅客鉄道御殿場線,長泉なめり駅,1,[4685]
3356,西日本旅客鉄道奈良線,新田駅,2,"[4695, 13601]"
3357,西日本旅客鉄道津山線,備前原駅,4,"[4698, 7879, 7887, 9357]"
3358,西日本旅客鉄道津山線,法界院駅,4,"[4698, 7879, 7887, 9357]"
3359,富山地方鉄道本線,東新庄駅,3,"[4700, 6151, 8402]"
3360,富山地方鉄道本線,越中荏原駅,3,"[4700, 4887, 6151]"
3361,名古屋鉄道名鉄常滑線,柴田駅,3,"[4701, 7499, 10223]"
3362,東日本旅客鉄道奥羽本線,土崎駅,9,"[4702, 5186, 6079, 7079, 7453, 8343, 9697, 10994, 14684]"
3363,静岡鉄道静岡清水線,日吉町駅,2,"[4703, 7820]"
3364,静岡鉄道静岡清水線,音羽町駅,2,"[4703, 7820]"
3365,西日本旅客鉄道越美北線,牛ヶ原駅,1,[4713]
3366,西日本旅客鉄道越美北線,北大野駅,1,[4713]
3367,"['長崎電気軌道大浦支線', '長崎電気軌道桜町支線', '長崎電気軌道蛍茶屋支線', '長崎電気軌道赤迫支線']",銭座町停留場,2,"[4726, 10712]"
3368,"['長崎電気軌道大浦支線', '長崎電気軌道桜町支線', '長崎電気軌道蛍茶屋支線', '長崎電気軌道赤迫支線']",宝町停留場,1,[4726]
3369,東日本旅客鉄道内房線,安房勝山駅,5,"[4732, 5332, 5725, 5835, 8673]"
3370,東日本旅客鉄道内房線,保田駅,3,"[4732, 5332, 5835]"
3371,西日本旅客鉄道紀勢線,串本駅,1,[4734]
3372,西日本旅客鉄道紀勢線,紀伊有田駅,1,[4734]
